revision,systematic_id,added_or_removed,value_y
20090219,SPBC29A3.06,added,"('EMBL:D89098','SPD:35/35A03')"
20110324,SPAC1002.12c,added,('PMID:xxxxxxxx')
20110324,SPAC1002.12c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1002.17c,added,('PMID:xxxxxxxx')
20110324,SPAC1002.17c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC105.01c,added,('PMID:xxxxxxxx')
20110324,SPAC105.01c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC11E3.03,added,('PMID:xxxxxxxx')
20110324,SPAC11E3.03,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC12G12.15,added,('PMID:xxxxxxxx')
20110324,SPAC12G12.15,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC13G6.06c,added,('PMID:xxxxxxxx')
20110324,SPAC13G6.06c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC140.01,added,('PMID:xxxxxxxx')
20110324,SPAC140.01,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC144.06,added,('PMID:xxxxxxxx')
20110324,SPAC144.06,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC14C4.02c,added,('PMID:xxxxxxxx')
20110324,SPAC14C4.02c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC167.04,added,('PMID:xxxxxxxx')
20110324,SPAC167.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1687.17c,added,('PMID:xxxxxxxx')
20110324,SPAC1687.17c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC16A10.05c,added,('PMID:xxxxxxxx')
20110324,SPAC16A10.05c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC16E8.07c,added,('PMID:xxxxxxxx')
20110324,SPAC16E8.11c,added,('PMID:xxxxxxxx')
20110324,SPAC16E8.11c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1751.04,added,('PMID:xxxxxxxx')
20110324,SPAC1751.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1783.02c,added,('PMID:xxxxxxxx')
20110324,SPAC1783.02c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC17D4.04,added,('PMID:xxxxxxxx')
20110324,SPAC17D4.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC17G6.15c,added,('PMID:xxxxxxxx')
20110324,SPAC17G6.15c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1805.03c,added,('PMID:xxxxxxxx')
20110324,SPAC1805.03c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC18B11.03c,added,('PMID:xxxxxxxx')
20110324,SPAC18B11.03c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1952.14c,added,('PMID:xxxxxxxx')
20110324,SPAC1952.14c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC19A8.04,added,('PMID:xxxxxxxx')
20110324,SPAC19A8.04,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1B1.04c,added,('PMID:xxxxxxxx')
20110324,SPAC1B1.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1B3.04c,added,('PMID:xxxxxxxx')
20110324,SPAC1B3.04c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC1B3.05,added,('PMID:xxxxxxxx')
20110324,SPAC1B3.05,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC20H4.05c,added,('PMID:xxxxxxxx')
20110324,SPAC20H4.05c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC222.16c,added,('PMID:xxxxxxxx')
20110324,SPAC222.16c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC22A12.13,added,('PMID:xxxxxxxx')
20110324,SPAC22A12.13,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC22E12.17c,added,('PMID:xxxxxxxx')
20110324,SPAC22E12.17c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC23A1.18c,added,('PMID:xxxxxxxx')
20110324,SPAC23A1.18c,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC23C4.17,added,('PMID:xxxxxxxx')
20110324,SPAC23C4.17,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC23D3.09,added,('PMID:xxxxxxxx')
20110324,SPAC23D3.09,removed,"('PMID:20118936','PMID:18641648')"
20110324,SPAC24C9.09,added,('PMID:xxxxxxxx')
20110324,SPAC24C9.09,removed,"('PMID:20118936','PMID:18641648')"
