revision	user	date	chromosome	systematic_id	primary_name	feature_type	qualifier_type	added_or_removed	value
8463	vw253	2022-09-27	I	SPNCRNA.1705	prl108	ncRNA	db_xref	added	('PMID:28031482',)
8463	vw253	2022-09-27	I	SPNCRNA.662	SPAC13A11.06-antisense-1	ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:18488015')
8463	vw253	2022-09-27	I	SPNCRNA.662	SPAC13A11.06-antisense-1	ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999')
8463	vw253	2022-09-27	III	SPNCRNA.1234	nmt1-antisense-1	ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:12597277', 'EMBL:AB084822')
8463	vw253	2022-09-27	III	SPNCRNA.1234	prl10	ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999', 'PMID:12597277', 'EMBL:AB084822')
8455	vw253	2022-09-22	I	SPAC6G10.09	ghs1	CDS	db_xref	added	('SPD:28/28H08',)
8455	vw253	2022-09-22	I	SPAC6G10.09	gls1	CDS	db_xref	removed	('SPD:28/28H08',)
8442	vw253	2022-09-14	II	SPBC27B12.05		CDS	db_xref	removed	('SPD:33/33A01',)
8442	vw253	2022-09-14	II	SPBC27B12.05	crt10	CDS	db_xref	added	('SPD:33/33A01',)
8430	vw253	2022-09-06	I	SPAC17G6.11c		CDS	db_xref	removed	('SPD:26/26F06',)
8430	vw253	2022-09-06	I	SPAC17G6.11c	gls1	CDS	db_xref	added	('SPD:26/26F06',)
8412	vw253	2022-08-26	I	SPNCRNA.274		ncRNA	db_xref	added	('PMID:29914874', 'PMID:18488015', 'PMID:21511999')
8412	vw253	2022-08-26	I	SPNCRNA.274		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:18488015')
8412	vw253	2022-08-26	I	SPNCRNA.306		ncRNA	db_xref	added	('PMID:29914874', 'PMID:18488015', 'PMID:21511999')
8412	vw253	2022-08-26	I	SPNCRNA.306		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:18488015')
8412	vw253	2022-08-26	I	SPNCRNA.432		ncRNA	db_xref	added	('PMID:29914874', 'PMID:18488015', 'PMID:21511999')
8412	vw253	2022-08-26	I	SPNCRNA.432		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:18488015')
8412	vw253	2022-08-26	I	SPNCRNA.660	pol4-antisense-1	ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:18488015')
8412	vw253	2022-08-26	I	SPNCRNA.660	pol4-antisense-2	ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999')
8412	vw253	2022-08-26	I	SPNCRNA.817		ncRNA	db_xref	removed	('PMID:29914874',)
8412	vw253	2022-08-26	I	SPNCRNA.817	prl59	ncRNA	db_xref	added	('PMID:29914874', 'EMBL:AB084871', 'PMID:12597277', 'PMID:21511999')
8412	vw253	2022-08-26	I	SPNCRNA.921		ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:18488015')
8412	vw253	2022-08-26	I	SPNCRNA.921		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999')
8412	vw253	2022-08-26	II	SPNCRNA.1303		ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:18488015')
8412	vw253	2022-08-26	II	SPNCRNA.1303		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999')
8412	vw253	2022-08-26	II	SPNCRNA.1501		ncRNA	db_xref	added	('PMID:29914874', 'PMID:21511999', 'PMID:29914874')
8412	vw253	2022-08-26	II	SPNCRNA.1501		ncRNA	db_xref	removed	('PMID:29914874', 'PMID:21511999')
