	systematic_id
SPAC1486.05	14
SPCC4B3.05c	14
SPBC19G7.06	12
SPAC2E12.05	12
SPSNRNA.06	12
SPBC32F12.08c	10
SPSNRNA.04	10
SPBP22H7.09c	10
SPCC830.02	10
SPAC26A3.09c	10
SPBC800.02	10
SPAC16A10.06c	10
SPAC167.04	10
SPAC30.03c	10
SPAC890.07c	10
SPNCRNA.98	10
SPSNRNA.02	10
SPAC823.04	8
SPSNORNA.41	8
SPNCRNA.103	8
SPCC622.21	8
SPSNRNA.07	8
SPCC576.16c	8
SPCC622.17	8
SPSNRNA.05	8
SPCC162.07	8
SPBC1706.02c	8
SPSNRNA.01	8
SPCC1223.15c	8
SPCC162.04c	8
SPSNRNA.03	8
SPAC688.11	8
SPBC18H10.08c	8
SPBC1709.12	8
SPAC22G7.04	8
SPAC27D7.12c	8
SPBC13G1.04c	6
SPBC11B10.10c	6
SPAC1639.01c	6
SPBC13E7.01	6
SPAC227.11c	6
SPBC14C8.09c	6
SPAC23H3.04	6
SPBC16D10.10	6
SPBC1A4.06c	6
SPCC736.05	6
SPBC23G7.06c	6
SPBC3B9.22c	6
SPBC21C3.07c	6
SPCC285.06c	6
SPAC6G9.13c	6
SPAC22F3.11c	6
SPBC2A9.07c	6
SPCC338.08	6
SPAC9E9.02	4
SPBC29A3.06	4
SPAC1A6.03c	4
SPAC2F3.13c	4
SPBC1711.10c	4
SPAC23C4.04c	4
SPBC25B2.07c	4
SPAPB17E12.08	4
SPAC1093.03	4
SPCC1020.11c	4
SPCC63.10c	4
SPAC29B12.08	4
SPAC31G5.12c	4
SPBPB21E7.02c	4
SPBP35G2.06c	4
SPBC2G2.09c	4
SPBC651.06	4
SPBC3E7.04c	4
SPBC354.07c	4
SPBC29A10.17	4
SPBC21.03c	4
SPBC18E5.14c	4
SPAC688.04c	4
SPBC16C6.03c	4
SPAPB1A10.15	4
SPAC959.05c	4
SPAC823.09c	4
SPAC1F8.07c	4
SPCC1442.04c	4
SPCC16C4.01	4
SPAC631.02	4
SPAC3A11.03	4
SPAC2F3.18c	4
SPAC2C4.06c	4
SPAC328.05	4
SPBC16E9.16c	4
SPAPB18E9.01	4
SPCC285.07c	4
SPAC630.14c	4
SPBC947.03c	4
SPAC56F8.04c	4
SPAC688.08	4
SPCC306.10	4
SPBC29A3.08	4
SPBC4F6.10	4
SPBC530.13	4
SPAC9G1.15c	4
SPAC1002.12c	4
SPAC4H3.06	4
SPAC589.02c	4
SPCC1620.10	4
SPAC637.09	4
SPAC23E2.02	4
SPBC32H8.08c	4
SPAC17A5.02c	4
SPCC417.03	4
SPAC1002.17c	4
SPAC29E6.03c	4
SPBC27B12.10c	2
SPAPB1A10.16	2
SPAPB2B4.06	2
SPAPB17E12.03	2
SPBC15D4.13c	2
SPBC16D10.02	2
SPBC2D10.15c	2
SPBC2D10.16	2
SPBC31F10.12	2
SPBC106.05c	2
SPAC9G1.13c	2
SPBC582.04c	2
SPAC17H9.04c	2
SPAC1F12.08	2
SPAC22E12.10c	2
SPAC19A8.06	2
SPAC24H6.01c	2
SPAC26H5.04	2
SPAC2C4.11c	2
SPAC30C2.05	2
SPAC9.06c	2
SPAC3A12.05c	2
SPAC4F10.08	2
SPAC630.11	2
SPAC6F12.08c	2
SPAC1071.09c	2
SPAC8C9.19	2
SPBC4.02c	2
SPCC1442.08c	2
SPBC8D2.17	2
SPCC1450.09c	2
SPBC16A3.14	2
SPBC16H5.04	2
SPBC21B10.02	2
SPBC29A3.07c	2
SPBPB2B2.07c	2
SPCC1442.13c	2
SPCC18.18c	2
SPBC11B10.03	2
SPCC622.14	2
SPCC1529.01	2
SPAC22F8.07c	2
SPAC22F3.03c	2
SPNCRNA.82	2
SPCC1223.10c	2
SPBC1604.17c	2
SPAPB1A10.03	2
SPBP4H10.12	2
SPCC1620.09c	2
SPBPB2B2.18	2
SPBPJ4664.05	2
SPBC30B4.08	2
SPCC1393.06c	2
SPAC1751.02c	2
SPCC1450.14c	2
SPCC16C4.16c	2
SPAC6G9.16c	2
SPCC1827.02c	2
SPCC736.12c	2
SPAC17C9.08	2
SPAC23D3.08	2
SPAC4C5.01	2
SPAC56F8.05c	2
SPAC1B3.10c	2
SPAC1142.01	2
SPAC16E8.12c	2
SPCC548.03c	2
SPAC29E6.04	2
SPAC12B10.09	2
SPAC1071.01c	2
SPAC458.04c	2
SPBC577.05c	2
SPCC553.05c	2
SPCC548.02c	2
SPAC30D11.03	2
SPBC15D4.02	2
SPAC4F10.02	2
SPAC57A7.12	2
SPAC56E4.04c	2
SPAC4G8.07c	2
SPAC3H1.12c	2
SPAC3A11.06	2
SPAC3A11.09	2
SPAC13G7.07	2
SPAC11E3.03	2
SPBC1E8.03c	2
SPCC1281.07c	2
SPAC17G8.01c	2
SPAC3A12.04c	2
SPAP27G11.10c	2
SPBC3D6.04c	2
SPAC5H10.06c	2
SPBC21B10.12	2
SPAC29A4.23	2
SPAC1D4.08	2
SPAC22F3.04	2
SPCC320.09	2
SPBC146.01	2
SPAC3H1.05	2
SPAC2F7.08c	2
SPAC15A10.12c	2
SPAC1B2.03c	2
SPAC25B8.08	2
SPAC23C11.17	2
SPBC31F10.08	2
SPAC22F8.10c	2
SPBC16C6.02c	2
SPAC1F12.09	2
SPBC839.02	2
SPAC1A6.10	2
SPAC11D3.07c	2
SPAC13G6.04	2
SPAC144.17c	2
SPAC1556.01c	2
SPAC1556.03	2
SPAC15A10.10	2
SPBP23A10.07	2
SPAC4G9.11c	2
SPBC1348.12	2
SPCC5E4.10c	2
SPAC27F1.09c	2
SPAC1002.01	2
SPCC1322.16	2
SPBP8B7.31	2
SPBC25H2.11c	2
SPBC16H5.12c	2
SPAPB17E12.14c	2
SPACUNK4.14	2
SPAC1565.08	2
SPAC29A4.03c	2
SPAC18B11.05	2
SPAC13F5.07c	2
SPBC947.10	2
SPBC1347.05c	2
