systematic_id	colour
SPAC212.11	2
SPAC212.10	13
SPAC212.09c	13
SPAC212.08c	8
SPAC212.07c	13
SPAC212.12	8
SPAC212.06c	7
SPAC212.05c	13
SPAC212.04c	8
SPAC212.03	8
SPAC212.02	8
SPAC212.01c	8
SPAC977.01	10
SPAC977.18	10
SPAC977.02	10
SPAC977.03	10
SPAC977.04	7
SPAC977.05c	10
SPAC977.06	8
SPAC977.07c	2
SPAC977.08	7
SPAC977.09c	7
SPAC977.10	2
SPAC977.11	2
SPAC977.12	7
SPAC977.13c	13
SPAC977.14c	7
SPAC977.15	10
SPAC977.16c	2
SPAC977.17	7
SPAPJ695.02	8
SPAPJ695.01c	8
SPAC1F8.01	2
SPAC1F8.02c	2
SPAC1F8.03c	2
SPAC1F8.04c	10
SPAC1F8.05	2
SPAC1F8.06	2
SPAC1F8.07c	7
SPAC1F8.08	8
SPAC11D3.19	8
SPAC11D3.01c	10
SPAC11D3.02c	10
SPAC11D3.03c	10
SPAC11D3.04c	10
SPAC11D3.05	7
SPAC11D3.06	7
SPAC11D3.07c	7
SPAC11D3.08c	7
SPAC11D3.09	7
SPAC11D3.10	10
SPAC11D3.20	6
SPAC11D3.11c	7
SPAC11D3.13	10
SPAC11D3.14c	7
SPAC11D3.15	7
SPAC11D3.16c	12
SPAC11D3.17	7
SPAC11D3.18c	7
SPAC5H10.01	7
SPAC5H10.02c	2
SPAC5H10.03	10
SPAC5H10.04	7
SPAC5H10.05c	10
SPAC5H10.06c	2
SPAC5H10.07	8
SPAC5H10.08c	2
SPAC5H10.09c	7
SPAC5H10.10	7
SPAC5H10.11	7
SPAC5H10.12c	2
SPAC5H10.13c	2
SPAC13G6.01c	2
SPAC13G6.02c	2
SPAC13G6.03	7
SPAC13G6.04	7
SPAC13G6.05c	7
SPAC13G6.06c	7
SPAC13G6.07c	2
SPAC13G6.08	2
SPAC13G6.09	7
SPAC13G6.10c	2
SPAC13G6.11c	7
SPAC13G6.12c	2
SPAC13G6.13	6
SPAC13G6.14	2
SPAC13G6.15c	7
SPAC24B11.05	7
SPAC24B11.06c	2
SPAC24B11.07c	10
SPAC24B11.08c	7
SPAC24B11.09	7
SPAC24B11.10c	10
SPAC24B11.11c	2
SPAC24B11.12c	2
SPAC24B11.14	6
SPAC24B11.13	7
SPAC806.02c	7
SPAC806.03c	7
SPAC806.11	6
SPAC806.04c	7
SPAC806.05	7
SPAC806.06c	7
SPAC806.07	2
SPAC806.08c	2
SPAC1639.01c	2
SPAC1639.02c	2
SPAC1F5.11c	2
SPAC1F5.10	2
SPAC1F5.09c	2
SPAC1F5.08c	2
SPAC1F5.07c	7
SPAC1F5.06	7
SPAC1F5.05c	7
SPAC1F5.04c	2
SPAC1F5.03c	7
SPAC1F5.02	7
SPAC18B11.11	7
SPAC18B11.10	2
SPAC18B11.09c	7
SPAC18B11.08c	7
SPAC18B11.07c	2
