revision	date	biological_role_published	biological_role_inferred	conserved_unknown	fission_yeast_unknown
20011004	2001-10-04	1351	2056	788	607
20020322	2002-03-22	1372	2043	769	614
20020905	2002-09-05	1356	2157	731	580
20030814	2003-08-14	1227	2441	627	540
20040915	2004-09-15	1339	2426	564	524
20050705	2005-07-05	1426	2415	537	486
20060103	2006-01-03	1519	2375	532	458
20060219	2006-02-19	1590	2326	580	411
20060517	2006-05-17	1542	2419	469	454
20060626	2006-06-26	1550	2418	463	452
20060701	2006-07-01	1549	2415	468	452
20060905	2006-09-05	1556	2415	468	470
20060922	2006-09-22	1558	2407	474	470
20061006	2006-10-06	1556	2384	485	470
20061023	2006-10-23	1561	2389	490	468
20061103	2006-11-03	1567	2338	536	468
20061120	2006-11-20	1570	2335	536	468
20061130	2006-11-30	1572	2331	539	467
20061218	2006-12-18	1574	2342	549	445
20070111	2007-01-11	1576	2339	578	413
20070130	2007-01-30	1585	2334	589	412
20070206	2007-02-06	1584	2329	583	413
20070226	2007-02-26	1602	2314	580	411
20070312	2007-03-12	1610	2317	584	406
20070327	2007-03-27	1610	2312	589	406
20070412	2007-04-12	1613	2310	588	404
20070423	2007-04-23	1615	2309	589	403
20070503	2007-05-03	1620	2304	589	403
20070531	2007-05-31	1614	2296	591	404
20070620	2007-06-20	1620	2303	592	401
20070705	2007-07-05	1620	2302	592	402
20070709	2007-07-09	1620	2302	592	402
20070723	2007-07-23	1629	2297	591	400
20070813	2007-08-13	1647	2280	594	396
20070904	2007-09-04	1648	2260	617	391
20070919	2007-09-19	1649	2260	616	391
20071011	2007-10-11	1651	2265	609	391
20071109	2007-11-09	1652	2261	612	390
20071219	2007-12-19	1663	2248	616	388
20080123	2008-01-23	1677	2243	615	377
20080222	2008-02-22	1698	2220	624	373
20080418	2008-04-18	1705	2212	626	375
20080512	2008-05-12	1715	2210	634	385
20080716	2008-07-16	1721	2200	642	380
20080827	2008-08-27	1749	2180	640	371
20080922	2008-09-22	1760	2174	640	366
20081008	2008-10-08	1761	2175	641	362
20081210	2008-12-10	1759	2180	640	360
20090114	2009-01-14	1812	2132	636	359
20090219	2009-02-19	1817	2132	634	356
20090501	2009-05-01	1819	2143	627	353
20090706	2009-07-06	1822	2129	638	367
20090717	2009-07-17	1823	2129	637	367
20090730	2009-07-30	1828	2124	637	367
20090819	2009-08-19	1831	2121	640	366
20090904	2009-09-04	1827	2126	640	365
20091023	2009-10-23	1829	2149	618	361
20100129	2010-01-29	1846	2160	616	340
20100217	2010-02-17	1848	2160	614	340
20100520	2010-05-20	1861	2154	611	344
20100610	2010-06-10	1855	2171	601	343
20100701	2010-07-01	1855	2171	601	343
20100804	2010-08-04	1873	2176	580	341
20100901	2010-09-01	1872	2176	581	340
20100928	2010-09-28	1868	2193	572	340
20101015	2010-10-15	1892	2173	567	340
20101209	2010-12-09	1908	2157	567	340
20110204	2011-02-04	1911	2158	586	353
20110304	2011-03-04	1914	2158	584	352
20110324	2011-03-24	1914	2166	589	378
20110418	2011-04-18	1911	2155	587	378
20110509	2011-05-09	1912	2161	587	373
20110603	2011-06-03	1917	2171	587	375
2	2011-08-01	1936	2164	582	375
46	2011-09-01	1939	2163	581	376
85	2011-10-01	1940	2166	579	374
118	2011-11-01	1941	2166	578	374
177	2011-12-01	1942	2165	577	374
207	2012-01-01	1943	2164	578	373
257	2012-02-01	1945	2162	578	374
304	2012-03-01	1945	2162	579	373
323	2012-04-01	1949	2159	578	373
350	2012-05-01	1952	2156	578	373
366	2012-06-01	1953	2163	571	372
496	2012-07-01	1959	2159	569	372
540	2012-08-01	1962	2161	564	371
609	2012-09-01	1967	2160	562	370
659	2012-10-01	1976	2155	555	372
697	2012-11-01	1981	2157	548	373
761	2012-12-01	1987	2156	545	371
793	2013-01-01	1989	2154	545	371
849	2013-02-01	1996	2151	543	369
909	2013-03-01	1999	2149	542	369
946	2013-04-01	2001	2148	541	369
992	2013-05-01	2028	2125	537	369
1051	2013-06-01	2036	2120	535	368
1100	2013-07-01	2048	2114	534	363
1122	2013-08-01	2050	2114	534	361
1203	2013-09-01	2067	2103	530	358
1289	2013-10-01	2073	2098	530	357
1357	2013-11-01	2074	2103	522	359
1391	2013-12-01	2086	2093	522	358
1453	2014-01-01	2091	2092	518	358
1493	2014-02-01	2091	2092	518	358
1559	2014-03-01	2092	2091	518	358
1630	2014-04-01	2097	2086	518	358
1673	2014-05-01	2101	2083	517	358
1751	2014-06-01	2110	2076	517	356
1884	2014-07-01	2116	2068	519	355
1990	2014-08-01	2123	2062	518	359
2137	2014-09-01	2125	2065	537	328
2211	2014-10-01	2133	2061	537	324
2308	2014-11-01	2142	2055	535	323
2407	2014-12-01	2149	2055	528	323
2461	2015-01-01	2153	2050	530	323
2533	2015-02-01	2159	2047	527	323
2644	2015-03-01	2159	2049	525	323
2701	2015-04-01	2164	2046	525	321
2745	2015-05-01	2166	2043	526	321
2791	2015-06-01	2151	2074	510	321
2813	2015-07-01	2154	2070	511	321
2857	2015-08-01	2158	2067	510	321
2918	2015-09-01	2159	2065	511	321
2970	2015-10-01	2160	2064	511	321
3045	2015-11-01	2165	2060	510	321
3148	2015-12-01	2165	2061	510	324
3212	2016-01-01	2167	2062	508	323
3259	2016-02-01	2172	2057	508	323
3332	2016-03-01	2173	2057	508	323
3389	2016-04-01	2175	2055	508	332
3429	2016-05-01	2185	2047	506	332
3461	2016-06-01	2185	2048	505	332
3498	2016-07-01	2190	2043	505	332
3552	2016-08-01	2201	2033	505	331
3605	2016-09-01	2204	2034	502	330
3661	2016-10-01	2206	2029	506	329
3721	2016-11-01	2211	2024	506	329
3755	2016-12-01	2214	2032	496	328
3805	2017-01-01	2233	2018	491	328
3857	2017-02-01	2235	1996	511	328
3897	2017-03-01	2236	1993	513	328
3964	2017-04-01	2243	1994	506	327
4019	2017-05-01	2245	1992	507	326
4070	2017-06-01	2246	2002	500	322
4120	2017-07-01	2244	2035	493	298
4212	2017-08-01	2228	2106	443	293
4264	2017-09-01	2247	2095	436	292
4320	2017-10-01	2254	2102	419	295
4392	2017-11-01	2298	2059	418	295
4453	2017-12-01	2302	2058	415	295
4498	2018-01-01	2306	2056	417	291
4547	2018-02-01	2307	2053	419	291
4603	2018-03-01	2311	2052	416	291
4708	2018-04-01	2315	2056	410	289
4773	2018-05-01	2323	2049	410	288
