chromosome	revision
chromosome1	20070620
chromosome1	20070130
chromosome1	20060626
chromosome1	20060517
chromosome1	20060219
chromosome1	20050705
chromosome1	20040915
chromosome1	20030814
chromosome1	20020905
chromosome1	20020322
chromosome2	20070620
chromosome2	20070130
chromosome2	20060517
chromosome2	20060219
chromosome2	20050705
chromosome2	20040915
chromosome2	20030814
chromosome2	20020905
chromosome2	20020322
chromosome3	20070620
chromosome3	20070130
chromosome3	20060517
chromosome3	20060219
chromosome3	20030814
chromosome3	20020905
chromosome3	20020322
