revision	date	chromosome	reference	link
6244	2020-04-30	pMIT	MK618072	https://curation.pombase.org/pombe-embl-repo/trunk/pMIT.contig?p=6244
2	2011-08-22	telomeric	AB325691	https://curation.pombase.org/pombe-embl-repo/telomeric.contig?p=2
20080222	2008-02-22	mating_type_region	FP565355.1	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20080222/mating_type_region.contig
20070620	2007-06-20	chromosome1	CU329670.1	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070620/chromosome1.contig
20070620	2007-06-20	chromosome2	CU329671.1	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070620/chromosome2.contig
20070620	2007-06-20	chromosome3	CU329672.1	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070620/chromosome3.contig
20070130	2007-01-30	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070130/chromosome1.contig
20070130	2007-01-30	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070130/chromosome2.contig
20070130	2007-01-30	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070130/chromosome3.contig
20070130	2007-01-30	pMIT	X54421.1	https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20070130/pMIT.contig
20060626	2006-06-26	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060626/chromosome1.contig
20060517	2006-05-17	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060517/chromosome1.contig
20060517	2006-05-17	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060517/chromosome2.contig
20060517	2006-05-17	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060517/chromosome3.contig
20060219	2006-02-19	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060219/chromosome1.contig
20060219	2006-02-19	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060219/chromosome2.contig
20060219	2006-02-19	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20060219/chromosome3.contig
20050705	2005-07-05	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20050705/chromosome1.contig
20050705	2005-07-05	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20050705/chromosome2.contig
20040915	2004-09-15	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20040915/chromosome1.contig
20040915	2004-09-15	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20040915/chromosome2.contig
20030814	2003-08-14	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20030814/chromosome1.contig
20030814	2003-08-14	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20030814/chromosome2.contig
20030814	2003-08-14	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20030814/chromosome3.contig
20020905	2002-09-05	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020905/chromosome1.contig
20020905	2002-09-05	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020905/chromosome2.contig
20020905	2002-09-05	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020905/chromosome3.contig
20020322	2002-03-22	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020322/chromosome1.contig
20020322	2002-03-22	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020322/chromosome2.contig
20020322	2002-03-22	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20020322/chromosome3.contig
20011004	2001-10-04	chromosome1		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20011004/chromosome1.contig
20011004	2001-10-04	chromosome2		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20011004/chromosome2.contig
20011004	2001-10-04	chromosome3		https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20011004/chromosome3.contig
