Systematic ID	Primary name	Date added	Comment	Reference
SPSNORNA.55	snR107	2025-04-10		PMID:40185772
SPNCRNA.1715	mamRNA	2023-03-17		PMID:33536434,PMID:40185772
SPNCRNA.1714		2023-02-13		
SPNCRNA.7774		2022-01-12		PMID:29914874
SPNCRNA.7773		2022-01-12		PMID:29914874
SPNCRNA.7772		2022-01-12		PMID:29914874
SPNCRNA.7771		2022-01-12		PMID:29914874
SPNCRNA.7770		2022-01-12		PMID:29914874
SPNCRNA.7769		2022-01-12		PMID:29914874
SPNCRNA.7768		2022-01-12		PMID:29914874
SPNCRNA.7767		2022-01-12		PMID:29914874
SPNCRNA.7766		2022-01-12		PMID:29914874
SPNCRNA.7765		2022-01-12		PMID:29914874
SPNCRNA.7764		2022-01-12		PMID:29914874
SPNCRNA.7763		2022-01-12		PMID:29914874
SPNCRNA.7762		2022-01-12		PMID:29914874
SPNCRNA.7761		2022-01-12		PMID:29914874
SPNCRNA.7760		2022-01-12		PMID:29914874
SPNCRNA.7759		2022-01-12		PMID:29914874
SPNCRNA.7758		2022-01-12		PMID:29914874
SPNCRNA.7757		2022-01-12		PMID:29914874
SPNCRNA.7756		2022-01-12		PMID:29914874
SPNCRNA.7755		2022-01-12		PMID:29914874
SPNCRNA.7754		2022-01-12		PMID:29914874
SPNCRNA.7753		2022-01-12		PMID:29914874
SPNCRNA.7752		2022-01-12		PMID:29914874
SPNCRNA.7751		2022-01-12		PMID:29914874
SPNCRNA.7750		2022-01-12		PMID:29914874
SPNCRNA.7749		2022-01-12		PMID:29914874
SPNCRNA.7748		2022-01-12		PMID:29914874
SPNCRNA.7747		2022-01-12		PMID:29914874
SPNCRNA.7746		2022-01-12		PMID:29914874
SPNCRNA.7745		2022-01-12		PMID:29914874
SPNCRNA.7744		2022-01-12		PMID:29914874
SPNCRNA.7743		2022-01-12		PMID:29914874
SPNCRNA.7742		2022-01-12		PMID:29914874
SPNCRNA.7741		2022-01-12		PMID:29914874
SPNCRNA.7740		2022-01-12		PMID:29914874
SPNCRNA.7739		2022-01-12		PMID:29914874
SPNCRNA.7738		2022-01-12		PMID:29914874
SPNCRNA.7737		2022-01-12		PMID:29914874
SPNCRNA.7736		2022-01-12		PMID:29914874
SPNCRNA.7735		2022-01-12		PMID:29914874
SPNCRNA.7734		2022-01-12		PMID:29914874
SPNCRNA.7733		2022-01-12		PMID:29914874
SPNCRNA.7732		2022-01-12		PMID:29914874
SPNCRNA.7731		2022-01-12		PMID:29914874
SPNCRNA.7730		2022-01-12		PMID:29914874
SPNCRNA.7729		2022-01-12		PMID:29914874
SPNCRNA.7728		2022-01-12		PMID:29914874
SPNCRNA.7727		2022-01-12		PMID:29914874
