Systematic ID	Primary name	Date removed	Coordinates when removed	Comment	Reference
SPNCRNA.893		2023-03-01	3177931..3178309	Merged into SPNCRNA.87	PomBase curators
SPNCRNA.263		2023-02-13	5317424..5317575		PomBase curators
SPNCRNA.38	prl38	2023-01-23	complement(2186474..2186908)	Merged into SPNCRNA.1493	PomBase curators
SPNCRNA.386		2023-01-11	2051835..2051899		PomBase curators
SPNCRNA.208		2022-12-21	2802514..2802681		PomBase curators
SPNCRNA.272		2022-12-21	5442999..5443180		PomBase curators
SPNCRNA.290		2022-12-21	102509..102673		PomBase curators
SPNCRNA.75		2022-12-21	complement(2810265..2810692)	Merged into SPAC1B2.03c	PomBase curators
SPNCRNA.310		2022-12-21	5543364..5543438		PomBase curators
SPNCRNA.81		2022-12-21	complement(1574846..1575103)		PomBase curators
SPNCRNA.138		2022-12-21	79209..79317		PomBase curators
SPNCRNA.490		2022-12-21	1354634..1354743		PomBase curators
SPNCRNA.265		2022-12-21	5387957..5388056		PomBase curators
SPNCRNA.106		2022-12-21	2704773..2704920	Merged into SPAC1F8.03c,SPBC4F6.09,SPCC61.01c	PomBase curators
SPNCRNA.1612		2022-12-21	3537068..3538112	Merged into SPBC887.22	PomBase curators
SPNCRNA.20	prl20	2022-12-20	complement(3934357..3934809)	Merged into SPNCRNA.1649	PomBase curators
SPNCRNA.64		2022-12-20	827254..827546	Merged into SPCC1393.13	PomBase curators
SPNCRNA.541		2022-12-20	complement(3150467..3153000)	Merged into SPNCRNA.1582	PomBase curators
SPNCRNA.1217		2022-12-20	1677222..1680771	Merged into SPNCRNA.583	PomBase curators
SPNCRNA.543		2022-12-20	complement(3751363..3751721)	Merged into SPBC13G1.16	PomBase curators
SPNCRNA.523		2022-12-20	complement(2381299..2381802)	Merged into SPNCRNA.1293	PomBase curators
SPNCRNA.1707	prl102	2022-12-20	2626082..2626661	Merged into SPNCRNA.5748	PomBase curators
SPNCRNA.574		2022-12-20	3510949..3512276	Merged into SPNCRNA.1608	PomBase curators
SPNCRNA.578		2022-12-20	complement(343079..346451)	Merged into SPNCRNA.1132	PomBase curators
SPNCRNA.113		2022-12-20	4129796..4130288	Merged into SPNCRNA.1674	PomBase curators
SPNCRNA.582		2022-12-20	complement(1587755..1588838)	Merged into SPNCRNA.1208	PomBase curators
SPNCRNA.532		2022-12-20	complement(4465475..4466352)	Merged into SPNCRNA.1696	PomBase curators
SPNCRNA.504		2022-12-20	1839578..1840266	Merged into SPNCRNA.1235	PomBase curators
SPNCRNA.539		2022-12-20	complement(2601130..2601336)	Merged into SPNCRNA.1533	PomBase curators
SPNCRNA.1163		2022-12-20	957698..959188	Merged into SPNCRNA.478	PomBase curators
SPNCRNA.7117		2022-12-20	complement(935976..936618)	Merged into SPNCRNA.1706	PomBase curators
SPNCRNA.419		2022-12-20	3408356..3410137	Merged into SPNCRNA.1598	PomBase curators
SPNCRNA.458		2022-12-20	170771..173539	Merged into SPNCRNA.1115	PomBase curators
SPNCRNA.424		2022-12-20	3584415..3584941	Merged into SPNCRNA.1619	PomBase curators
SPNCRNA.426		2022-12-20	3620593..3622000	Merged into SPNCRNA.1624	PomBase curators
SPNCRNA.436		2022-12-20	4033337..4035308	Merged into SPNCRNA.1657	PomBase curators
SPNCRNA.444		2022-12-20	4435937..4436680	Merged into SPNCRNA.1693	PomBase curators
SPNCRNA.210		2022-12-19	2959156..2959658	Merged into SPNCRNA.865	PomBase curators
SPNCRNA.1436		2022-12-19	complement(1467902..1468396)	Merged into SPSNORNA.47	PomBase curators
SPNCRNA.1481		2022-12-19	1952767..1955702	Merged into SPNCRNA.571	PomBase curators
SPNCRNA.911		2022-12-19	complement(3477738..3479037)		PomBase curators
SPNCRNA.197		2022-12-19	2519010..2521358	Merged into SPNCRNA.831	PomBase curators
SPNCRNA.528		2022-12-19	complement(2931805..2932279)		PomBase curators
SPNCRNA.205		2022-12-19	2738681..2740459	Merged into SPNCRNA.848	PomBase curators
SPNCRNA.4496		2022-12-19	5524126..5524769	Merged into SPNCRNA.1703	PomBase curators
SPNCRNA.882		2022-12-19	3060538..3061276	Merged into SPNCRNA.212	PomBase curators
SPNCRNA.277		2022-12-19	5478402..5479098		PomBase curators
SPNCRNA.236		2022-12-19	3846893..3847670	Merged into SPNCRNA.941	PomBase curators
SPNCRNA.329		2022-12-19	831524..832704	Merged into SPNCRNA.1387	PomBase curators
SPNCRNA.860		2022-12-19	complement(2931622..2932800)		PomBase curators
SPNCRNA.321		2022-12-19	672953..673783	Merged into SPNCRNA.1379	PomBase curators
SPNCRNA.246		2022-12-19	4400686..4401605	Merged into SPNCRNA.985	PomBase curators
SPNCRNA.551		2022-12-19	485703..486330	Merged into SPNCRNA.653	PomBase curators
SPNCRNA.248		2022-12-19	4531070..4531631	Merged into SPNCRNA.996	PomBase curators
SPNCRNA.254		2022-12-19	4869147..4870212	Merged into SPNCRNA.1032	PomBase curators
SPNCRNA.557		2022-12-19	complement(1902620..1904134)	Merged into SPNCRNA.772	PomBase curators
SPNCRNA.4499		2022-12-19	complement(5552817..5554059)	Merged into SPNCRNA.1704	PomBase curators
SPNCRNA.564		2022-12-19	4931204..4933354	Merged into SPNCRNA.1037	PomBase curators
SPNCRNA.299		2022-12-19	274745..275832	Merged into SPNCRNA.1333	PomBase curators
SPNCRNA.559		2022-12-19	2893868..2895019	Merged into SPNCRNA.858	PomBase curators
SPNCRNA.3112		2022-12-12	2474190..2474389		PomBase curators
SPNCRNA.1038		2022-12-12	complement(4936907..4937569)	Merged into SPSNORNA.42	PomBase curators
SPNCRNA.325		2022-12-12	720414..720516		PomBase curators
SPNCRNA.143		2022-12-08	236819..236928	Merged into SPNCRNA.625	PomBase curators
SPNCRNA.341		2022-12-08	4106634..4106726		PomBase curators
SPNCRNA.507		2022-12-08	complement(2265688..2265845)	Merged into SPNCRNA.808	PomBase curators
SPNCRNA.508		2022-12-08	1938961..1939133		PomBase curators
SPNCRNA.510		2022-12-08	3851006..3851107	Merged into SPNCRNA.942	PomBase curators
SPNCRNA.514		2022-12-08	complement(2145712..2145812)	Merged into SPNCRNA.1490	PomBase curators
SPNCRNA.515		2022-12-08	3962690..3962794	Merged into SPNCRNA.1651	PomBase curators
SPNCRNA.129		2022-12-08	complement(115394..115476)		PomBase curators
SPNCRNA.114		2022-12-08	4262098..4262173		PomBase curators
SPNCRNA.125		2022-12-08	895569..895690	Merged into SPCC16A11.14	PomBase curators
SPNCRNA.906		2022-12-08	3394883..3395271	Merged into SPSNORNA.20	PomBase curators
SPNCRNA.108		2022-12-08	1680947..1681089		PomBase curators
SPNCRNA.91		2022-12-08	5058865..5059013		PomBase curators
SPNCRNA.88		2022-12-08	3033837..3033955		PomBase curators
SPNCRNA.119		2022-12-08	2097286..2097395		PomBase curators
SPNCRNA.89		2022-12-08	3960007..3960165		PomBase curators
SPNCRNA.99		2022-12-08	complement(4434321..4434475)		PomBase curators
SPNCRNA.126		2022-12-08	complement(895866..895962)		PomBase curators
SPNCRNA.127		2022-12-08	895922..896000		PomBase curators
SPNCRNA.10		2022-09-27	complement(1837689..1838380)	merged with SPNCRNA.1234	PomBase curators
SPNCRNA.101		2022-09-27	227377..227756	Merged into SPNCRNA.62	PomBase curators
SPNCRNA.104		2022-09-27	547327..547670	Merged into SPNCRNA.66	PomBase curators
SPNCRNA.193		2022-09-27	2404684..2405924	Merged into SPNCRNA.823	PomBase curators
SPNCRNA.18		2022-09-27	complement(3699381..3700010)	merged with SPNCRNA.928	PomBase curators
SPNCRNA.1711	adh1-antisense-2	2022-09-27	complement(1590089..1593983)	Merged into SPNCRNA.1710	PomBase curators
SPNCRNA.489		2022-09-27	1342276..1342801	merged with SPNCRNA.1187	PomBase curators
SPNCRNA.46		2022-09-27	complement(4651351..4651792)	SPNCRNA.46 changed to 5' UTR of SPAC144.19 (prl46)	PMID:32594847
SPNCRNA.1295		2022-09-27	2419027..2419845	Merged into SPNCRNA.29	PomBase curators
SPNCRNA.884		2022-09-27	complement(3084619..3086087)	merged with SPNCRNA.214	PomBase curators
SPNCRNA.553	SPAC13A11.06-antisense-2	2022-09-27	complement(585266..587631)	Merged into SPNCRNA.662	PomBase curators
SPNCRNA.1541		2022-09-27	2661608..2662564	Merged into SPNCRNA.540	PomBase curators
SPNCRNA.951		2022-09-27	3951825..3952588	Merged into SPNCRNA.239	PomBase curators
SPNCRNA.145		2022-09-27	239730..240571	Merged into SPNCRNA.628	PomBase curators
SPNCRNA.1098		2022-09-27	complement(42013..42653)	merged with SPNCRNA.07	PomBase curators
SPNCRNA.1274		2022-09-27	complement(2215568..2217808)	Merged into SPNCRNA.584	PomBase curators
SPNCRNA.1388		2022-09-27	835808..836248	Merged into SPNCRNA.34	PomBase curators
SPNCRNA.729		2022-08-26	1236996..1238533	Merged into SPNCRNA.432	PomBase curators
SPNCRNA.681		2022-08-26	776184..777243	Merged into SPNCRNA.159	PomBase curators
SPNCRNA.727		2022-08-26	1234476..1235111	deleted; ID added as synonym to SPNCRNA.82 and SPSNORNA.10 (covers both). Merged into SPNCRNA.82,SPSNORNA.10	PomBase curators
SPNCRNA.994		2022-08-26	4516018..4517065	Merged into SPNCRNA.130	PomBase curators
SPNCRNA.289		2022-08-26	63695..64021	Merged into SPNCRNA.1303	PomBase curators
SPNCRNA.77		2022-08-26	2362396..2362641	Merged into SPNCRNA.817	PomBase curators
SPNCRNA.76		2022-08-26	79543..79628	overlapped with correctly annotated NUMT (SPNUMT.9)	PomBase curators
SPNCRNA.4538		2022-08-26	complement(63188..63561)		PomBase curators
SPNCRNA.83		2022-08-26	72344..72414	overlapped with correctly annotated NUMT (SPNUMT.8)	PomBase curators
SPNCRNA.78		2022-08-26	2362643..2362753	Merged into SPNCRNA.817	PomBase curators
SPNCRNA.962		2022-08-26	4136046..4137000	Merged into SPNCRNA.306	PomBase curators
SPNCRNA.958		2022-08-26	complement(4100222..4101663)	merged with SPAC23A1.20	PomBase curators
SPNCRNA.59	prl59	2022-08-26	2362411..2362747	Merged into SPNCRNA.817	PomBase curators
SPNCRNA.495		2022-08-26	1560068..1561109	Merged into SPNCRNA.1205	PomBase curators
SPNCRNA.552	pol4-antisense-1	2022-08-26	541795..543483	Merged into SPNCRNA.660	PomBase curators
SPNCRNA.1679		2022-08-26	complement(4194886..4196046)	Merged into SPNCRNA.438	PomBase curators
SPNCRNA.1341		2022-08-26	complement(339484..340003)	Merged into SPNCRNA.103	PomBase curators
SPNCRNA.1256		2022-08-26	2045109..2046142		PomBase curators
SPNCRNA.144		2022-08-26	238509..238898	Merged into SPNCRNA.627	PomBase curators
SPNCRNA.538		2022-08-26	2301759..2303132	Merged into SPNCRNA.1501	PomBase curators
SPNCRNA.503		2022-08-26	1787163..1787440		PomBase curators
SPNCRNA.1531		2022-08-26	2584028..2586436	Merged into SPNCRNA.402	PomBase curators
SPNCRNA.1084		2022-08-26	5459203..5460261	Merged into SPNCRNA.274	PomBase curators
SPNCRNA.502		2022-08-26	1782127..1783070	merged with SPNCRNA.1228	PomBase curators
SPNCRNA.1631		2022-08-26	3702520..3703093	Merged into SPNCRNA.428	PomBase curators
SPNCRNA.411		2022-08-26	2901243..2902541	Merged into SPNCRNA.1561	PomBase curators
SPNCRNA.410		2022-08-26	2886001..2886371	Merged into SPNCRNA.1559	PomBase curators
SPNCRNA.227		2022-08-26	3610148..3611124	Merged into SPNCRNA.921	PomBase curators
SPNCRNA.4675		2022-08-26	complement(340287..340577)	Merged into SPNCRNA.103	PomBase curators
SPNCRNA.09	prl9	2022-08-25	complement(2485500..2486230)	Merged into SPNCRNA.1519	PomBase curators
SPNCRNA.5		2022-08-25	434104..434843		PomBase curators
SPNCRNA.08	prl8	2022-08-25	complement(2485488..2486126)	Merged into SPNCRNA.1519	PomBase curators
SPNCRNA.74	eta2-antisense-4	2022-08-25	complement(3002976..3003758)	Merged into SPNCRNA.872	PomBase curators
SPNCRNA.73	eta2-antisense-3	2022-08-25	complement(3002834..3003255)	Merged into SPNCRNA.872	PomBase curators
SPNCRNA.06	prl6	2022-08-25	complement(968168..968477)	Merged into SPNCRNA.1166	PomBase curators
SPNCRNA.01	prl1	2022-08-25	3003816..3004916	SPNCRNA.01/prl101 part of the UTR of eta2	PomBase curators
SPNCRNA.72	eta2-antisense-2	2022-08-25	complement(3001825..3003103)	Merged into SPNCRNA.872	PomBase curators
SPNCRNA.2010		2022-08-25	complement(14934..16200)	Merged into SPNCRNA.1701	PomBase curators
SPNCRNA.5498		2022-02-23	2113971..2114364	Merged into SPNCRNA.1708	PomBase curators
SPNCRNA.379		2022-02-23	1892116..1892775	Merged into SPNCRNA.1474	PomBase curators
SPNCRNA.1486		2022-02-23	2115592..2117088	merged with SPNCRNA.388	PomBase curators
SPNCRNA.342		2022-02-23	1224483..1224560		PomBase curators
SPNCRNA.334		2022-02-23	948994..949948	Merged into SPNCRNA.1399	PomBase curators
SPRPTCENB.12	cnt2.2	2021-01-21	1624515..1627609		PomBase curators
SPRPTC.8		2020-05-01	complement(1738762..1740960)		PomBase curators
SPRPTC.7		2020-05-01	complement(1579527..1581981)		PomBase curators
SPRPTC.2		2020-05-01	615327..616830		PomBase curators
SPRPTC.5		2020-05-01	1401219..1403077		PomBase curators
SPRPTB.6		2020-05-01	complement(592650..594176)		PomBase curators
SPBC8E4.02c	prt2	2018-10-11	4442542..4445970	SPBC8E4.02c replaced by SPNCRNA.9001 (prt2)	PMID:29414789
SPRPTB.11		2016-03-23	complement(4019659..4019822)		PomBase curators
SPRPTB.12		2016-03-23	complement(4019846..4019937)		PomBase curators
SPNCRNA.1308		2014-11-06	complement(103165..104528)	Merged into SPNCRNA.291	PomBase curators
SPNCRNA.1300		2014-11-06	complement(21060..21754)	Merged into SPNCRNA.287	PomBase curators
SPNCRNA.1311		2014-11-06	120577..121643	Merged into SPNCRNA.293	PomBase curators
SPNCRNA.1372		2014-11-06	complement(591798..592612)	Merged into SPNCRNA.316	PomBase curators
SPRPTB.4		2014-06-10	complement(54135..56795)		PomBase curators
SPRPTB.5		2014-06-10	complement(56925..57077)		PomBase curators
SPRPTA.21		2014-06-09	5555691..5556879		PomBase curators
SPRPTA.1		2014-06-09	complement(6360..6755)		PomBase curators
SPRPTA.19		2014-06-09	complement(5538601..5539019)		PomBase curators
SPRPTA.2		2014-06-09	7548..12710		PomBase curators
SPRPTB.3		2014-06-09	14527..29514		PomBase curators
SPRPTB.2		2014-06-09	8062..12662		PomBase curators
SPRPTA.22		2014-06-09	5559353..5560691		PomBase curators
SPRPTA.23		2014-06-09	5559366..5570144		PomBase curators
