revision	user	date	chromosome	systematic_id	primary_name	feature_type	qualifier_type	added_or_removed	value
8566	vw253	2022-11-30	I	SPAC11E3.01c	swr1	CDS	product	added	('Swr1 complex histone chaperone module subunit, SNF2 family ATP-dependent chromatin remodeller Swr1',)
8566	vw253	2022-11-30	I	SPAC11E3.01c	swr1	CDS	product	removed	('SNF2 family ATP-dependent chromatin remodeller Swr1',)
8566	vw253	2022-11-30	I	SPAC4H3.02c	swc3	CDS	product	added	('Swr1 complex histone chaperone module subunit Swc3',)
8566	vw253	2022-11-30	I	SPAC4H3.02c	swc3	CDS	product	removed	('Swr1 complex subunit Swc3',)
8566	vw253	2022-11-30	II	SPBC29A3.05	vps71	CDS	product	added	('Swr1 complex histone chaperone module subunit Vps71',)
8566	vw253	2022-11-30	II	SPBC29A3.05	vps71	CDS	product	removed	('Swr1 complex subunit Vps71',)
8566	vw253	2022-11-30	II	SPBP35G2.13c	swc2	CDS	product	added	('Swr1 complex histone chaperone module subunit Swc2',)
8566	vw253	2022-11-30	II	SPBP35G2.13c	swc2	CDS	product	removed	('Swr1 complex subunit Swc2',)
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	colour	added	('2',)
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	colour	removed	('7',)
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	controlled_curation	added	('term=TENA/THI domain; date=19700101', 'term=genome organization, tandem duplication; cv=genome_org; date=19700101', 'term=orthologous to S. cerevisiae YPR121W and YPL258C and YOL055C; date=19700101', 'term=species distribution, conserved in fungi; date=20100820', 'term=species distribution, conserved in eukaryotes; date=20100820', 'term=species distribution, conserved in bacteria; date=20100820', 'term=species distribution, conserved in archaea; date=20110426')
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	controlled_curation	removed	('term=TENA/THI domain; date=19700101', 'term=genome organization, tandem duplication; cv=genome_org; date=19700101', 'term=orthologous to S. cerevisiae YPR121W and YPL258C and YOL055C; date=19700101', 'term=species distribution, conserved in fungi; date=20100820', 'term=species distribution, conserved in eukaryotes; date=20100820', 'term=species distribution, conserved in bacteria; date=20100820', 'term=species distribution, conserved in archaea; date=20110426')
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	db_xref	added	('SPD:24/24F08',)
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	db_xref	removed	('SPD:24/24F08',)
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	gene	removed	('SPBP8B7.17c',)
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	primary_name	added	('thi20',)
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	product	added	('phosphomethylpyrimidine kinase Thi20',)
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	product	removed	('phosphomethylpyrimidine kinase (predicted)',)
8566	vw253	2022-11-30	II	SPBP8B7.17c	thi20	CDS	systematic_id	added	('SPBP8B7.17c',)
8566	vw253	2022-11-30	II	SPBP8B7.17c		CDS	systematic_id	removed	('SPBP8B7.17c',)
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	colour	added	('7',)
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	colour	removed	('7',)
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	controlled_curation	added	('term=TENA/THI domain; date=19700101', 'term=genome organization, tandem duplication; cv=genome_org; date=19700101', 'term=orthologous to S. cerevisiae YPR121W and YPL258C and YOL055C; date=19700101', 'term=species distribution, conserved in fungi; date=20100820', 'term=species distribution, conserved in eukaryotes; date=20100820', 'term=species distribution, conserved in bacteria; date=20100820')
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	controlled_curation	removed	('term=TENA/THI domain; date=19700101', 'term=genome organization, tandem duplication; cv=genome_org; date=19700101', 'term=orthologous to S. cerevisiae YPR121W and YPL258C and YOL055C; date=19700101', 'term=species distribution, conserved in fungi; date=20100820', 'term=species distribution, conserved in eukaryotes; date=20100820', 'term=species distribution, conserved in bacteria; date=20100820')
8566	vw253	2022-11-30	II	SPBP8B7.18c	thi201	CDS	db_xref	added	('SPD:34/34G04',)
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	db_xref	removed	('SPD:34/34G04',)
8566	vw253	2022-11-30	II	SPBP8B7.18c		CDS	fasta_file	removed	('fasta/chromosome2.contig.seq.03761.out',)
