Systematic ID	Primary name	Date removed	Coordinates when removed	Comment	Reference
SPAC1002.21		2008-01-23	complement(1834875..1835321)	was annotated as dubious but based on position in uracil regulatable operon, as this CDS does not appear to be transcribed. t is possible that the localization data is an artifact of the combination of overexpression and hydrophobicity. The protein sequence is also a strange composition, and there is no ortholog in octosporus or japonicus genomes. On balance, taking into account all of the available features and contextual information, it is unlikely that this feature codes for a bona fide protein.	
SPAC110.05		2016-07-14	complement(1905728..1905820)	Merged into SPAC110.06	
SPAC1250.04	atl1	2006-11-20	5098013..5098339		
SPAC12D12.09	rev7	2008-01-23	join(2313544..2313574,2313624..2313650,2313694..2313744,2313785..2313897,2313940..2314055,2314104..2314207,2314277..2314476)	Merged into SPBC12D12.09	
SPAC13F5.08	vts1	2011-03-24	complement(join(2178651..2178887,2179020..2179117,2179380..2179482))	Merged into SPAC13F5.04c	
SPAC1556.06.1	meu1	2019-09-26	join(3802551..3804587,3804661..3804954)	Merged into SPAC1556.06	
SPAC1556.06.2	meu1-2	2016-12-01	join(3804582..3804587,3804661..3804954)		
SPAC17A2.15		2011-03-24	join(3569155..3569235,3569383..3569511)	was on the reverse strand of the N-terminal extension of SPAC17A2.08	
SPAC17G6.02c.1	tco1	2022-12-20	complement(3588975..3589949)		
SPAC17G6.02c.2	tco1	2022-12-20	complement(3588975..3589949)		
SPAC1D4.07c		2015-12-11	complement(649449..649889)	not protein-coding	PMID:24929437, PMID:26615217
SPAC1F12.03c		2012-07-16	complement(join(3810367..3810458,3810639..3810660))	removed; replaced by a nuclear mitochondrial pseudogene (NUMT) feature	
SPAC1F7.05.1	cdc22	2023-01-11	join(4226982..4227000,4227317..4229733)		
SPAC1F7.05.2	cdc22	2022-09-01	join(4226982..4227000,4227317..4229733)		
SPAC1F8.09c		2012-09-13	complement(96091..96345)	annotated in error	
SPAC22A12.08c	crd1	2021-04-23	complement(join(1170196..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
SPAC22E12.12		2007-12-19	join(5043251..5043480,5043529..5043589)	dubious; unsupported by Solexa transcript data. unsupported by Solexa transcript data and largely overlapping with 3' UTR of rpl24-3	PMID:18488015,PMID:18488015
SPAC22E12.15		2008-01-23	join(5049001..5049055,5049138..5049149,5049253..5049365)	previously annotated as dubious but dubious splice prediction; unsupported by Solexa transcript data	PMID:18488015
SPAC27D7.10c		2008-09-22	complement(4526425..4527576)	Merged into SPAC27D7.09c	
SPAC27E2.13		2015-12-11	4008511..4008693	not protein-coding	PMID:24929437, PMID:26615217
SPAC27F1.09c.1	prp10	2021-11-27	complement(4333170..4336787)		
SPAC27F1.09c.2	prp10	2021-11-27	complement(join(4333170..4336726,4336778..4336787))		
SPAC27F1.09c.3	prp10	2021-12-18	complement(join(4333170..4336555,4336622..4336726,4336778..4336787))		
SPAC4G8.15c		2007-12-19	complement(join(766607..766720,766810..766836))	dubious; unsupported by Solexa transcript data	PMID:18488015
SPAC4H3.12c		2015-12-11	complement(3851914..3852219)	not protein-coding	PMID:24929437, PMID:26615217
SPAC6F6.18c	mug169	2008-07-16	complement(2764798..2765163)	merged with SPAC6F6.16c	PMID:18535244
SPAC823.02		2016-03-17	join(2583804..2583902,2583941..2583973)	deleted; replaced by SPAC823.17 at same locus, but in different frame	PMID:24929437
SPAC8C9.20		2008-01-23	join(3663780..3663800,3663885..3663951,3663983..3664076,3664130..3664217)	non consensus branch sites, and no coverage with transcriptome data	
