	revision	user	date	chromosome	systematic_id	primary_name	feature_type	value_x	value_y	added_or_removed
0	8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	776184..777243	('PMID:29914874', 'PMID:21511999', 'PMID:18488015', 'PMID:29914874')	added
1	8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	776184..777243	('PMID:18488015',)	removed
2	8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	776184..777243	('PMID:29914874',)	removed
3	8236	vw253	2022-05-24	I	SPNCRNA.214	ter1	ncRNA	complement(join(3084610..3084759,3084816..3086022))	('PMID:29914874', 'PMID:18157152', 'PMID:18157149', 'PMID:19052544')	added
4	8236	vw253	2022-05-24	I	SPNCRNA.214	ter1	ncRNA	complement(join(3084610..3084759,3084816..3086022))	('PMID:29914874', 'PMID:18157152', 'PMID:18157149')	removed
5	6255	vw253	2020-05-05	mitochondrial	SPRRNA.01	rnl	rRNA	1..2827	('PMID:29954949',)	added
6	6255	vw253	2020-05-05	mitochondrial	SPRRNA.02	rns	rRNA	3133..4553	('PMID:29954949',)	added
7	6246	vw253	2020-05-01	I	SPAC2E12.05	wtf1	CDS	join(5064781..5064919,5065087..5065332,5065380..5065610,5065652..5065705,5065760..5065836)	('PMID:28631610',)	added
8	6246	vw253	2020-05-01	II	SPBC1706.02c	wtf2	CDS	complement(join(593185..593261,593368..593393,593437..593575))	('PMID:28631610',)	added
9	6246	vw253	2020-05-01	III	SPCC285.06c	wtf17	CDS	complement(join(1805166..1805242,1805299..1805352,1805393..1805614,1805664..1805909,1806076..1806214))	('PMID:28631610',)	added
10	6246	vw253	2020-05-01	III	SPCC285.07c	wtf18	CDS	complement(join(1807004..1807131,1807182..1807244,1807285..1807476,1807513..1807836,1807885..1808157,1808396..1808534))	('PMID:28631610',)	added
11	6246	vw253	2020-05-01	III	SPCC306.10	wtf8	CDS	join(427445..427583,427752..427997,428047..428290,428336..428527,428568..428630,428681..428763)	('SPD:51/51D12', 'PMID:28631610')	added
12	6246	vw253	2020-05-01	III	SPCC306.10	wtf8	CDS	join(427445..427583,427752..427997,428047..428290,428336..428527,428568..428630,428681..428763)	('SPD:51/51D12',)	removed
13	6246	vw253	2020-05-01	III	SPCC548.02c	wtf3	CDS	complement(join(219185..219261,219315..219368,219409..219684,219734..219979,220148..220286))	('PMID:28631610',)	added
14	6246	vw253	2020-05-01	III	SPCC548.03c	wtf4	CDS	complement(join(221199..221344,221395..221457,221498..221689,221726..222016,222065..222337,222566..222701))	('SPD:51/51D11', 'PMID:28631610')	added
15	6246	vw253	2020-05-01	III	SPCC548.03c	wtf4	CDS	complement(join(221199..221344,221395..221457,221498..221689,221726..222016,222065..222337,222566..222701))	('SPD:51/51D11',)	removed
16	6246	vw253	2020-05-01	III	SPCC553.05c	wtf6	CDS	complement(join(297140..297216,297266..297307,297349..297655,297705..297950,298119..298258))	('SPD:51/51D01', 'PMID:28631610')	added
17	6246	vw253	2020-05-01	III	SPCC553.05c	wtf6	CDS	complement(join(297140..297216,297266..297307,297349..297655,297705..297950,298119..298258))	('SPD:51/51D01',)	removed
18	6246	vw253	2020-05-01	III	SPCC576.16c	wtf22	CDS	complement(join(2109178..2109281,2109333..2109395,2109436..2109608,2109645..2109923,2109973..2110221,2110391..2110528))	('PMID:28631610',)	added
19	6246	vw253	2020-05-01	III	SPCC622.21	wtf12	CDS	join(1401530..1401668,1401900..1402172,1402221..1402448,1402490..1402672)	('SPD:52/52B01', 'PMID:28631610')	added
20	6246	vw253	2020-05-01	III	SPCC622.21	wtf12	CDS	join(1401530..1401668,1401900..1402172,1402221..1402448,1402490..1402672)	('SPD:52/52B01',)	removed
21	6246	vw253	2020-05-01	III	SPCC736.05	wtf7	CDS	join(320617..320755,320964..321335,321387..321523)	('SPD:13/13G05', 'PMID:28631610')	added
22	6246	vw253	2020-05-01	III	SPCC736.05	wtf7	CDS	join(320617..320755,320964..321335,321387..321523)	('SPD:13/13G05',)	removed
23	6246	vw253	2020-05-01	III	SPCC830.02	wtf24	CDS	join(2181204..2181342,2181510..2181758,2181808..2182031,2182077..2182268,2182309..2182371,2182422..2182504)	('SPD:22/22F03', 'PMID:28631610')	added
24	6246	vw253	2020-05-01	III	SPCC830.02	wtf24	CDS	join(2181204..2181342,2181510..2181758,2181808..2182031,2182077..2182268,2182309..2182371,2182422..2182504)	('SPD:22/22F03',)	removed
25	2326	vw253	2014-11-06	II	SPNCRNA.287		ncRNA	complement(21060..21754)	('PMID:21511999', 'PMID:18488015')	added
26	2326	vw253	2014-11-06	II	SPNCRNA.287		ncRNA	complement(21060..21754)	('PMID:18488015',)	removed
