systematic_id	chromosome	primary_name	feature_type	category	merged_into	earliest_change	latest_change	latest_coords	comment_addition	reference_addition	comment_removal	reference_removal
SPAC1002.01	I	mrx11	CDS	changed		2004-09-15	2022-04-03	1798347..1798835				
SPAC1002.12c	I		CDS	changed		2011-03-24	2022-04-03	complement(1818695..1820191)				
SPAC1002.17c	I	urg2	CDS	changed		2011-03-24	2022-04-03	complement(1831012..1831581)				
SPAC1002.21	I		CDS	removed		2008-01-23	2008-01-23	complement(1834875..1835321)			was annotated as dubious but based on position in uracil regulatable operon, as this CDS does not appear to be transcribed. t is possible that the localization data is an artifact of the combination of overexpression and hydrophobicity. The protein sequence is also a strange composition, and there is no ortholog in octosporus or japonicus genomes. On balance, taking into account all of the available features and contextual information, it is unlikely that this feature codes for a bona fide protein.	PomBase curators
SPAC1006.03c	I	red1	CDS	changed		2011-03-04	2011-03-04	complement(join(5071212..5071417,5071462..5073188,5073389..5073449,5073728..5073872))				
SPAC1006.04c	I	mcp3	CDS	changed		2013-08-13	2013-10-01	complement(5075136..5077994)				
SPAC1006.05c	I		CDS	changed		2002-03-22	2002-03-22	complement(5104714..5105904)				
SPAC105.01c	I	kha1	CDS	changed		2011-03-24	2011-03-24	complement(join(1740616..1743124,1743299..1743378,1743421..1743501))				
SPAC1071.01c	I	pta1	CDS	changed		2017-04-12	2017-04-12	complement(join(3855626..3855790,3855792..3857792))				
SPAC1071.09c	I		CDS	changed		2022-08-25	2022-08-25	complement(3870660..3871427)				
SPAC1071.13	I		CDS	added		2011-03-24	2011-03-24	3881345..3881662		PMID:21511999		
SPAC1093.03	I		CDS	changed		2003-08-14	2011-03-24	join(4613627..4613686,4613723..4614081,4614152..4614378,4614438..4614954,4614996..4616331)				
SPAC1093.04c	I		CDS	changed		2005-07-05	2005-07-05	complement(join(4617361..4617522,4617567..4618180,4618252..4618834,4618896..4619039))				
SPAC1093.07	I		CDS	added		2011-03-24	2011-03-24	complement(4605907..4606143)		PMID:21511999		
SPAC10F6.10	I		CDS	changed		2011-03-24	2011-03-24	join(1225599..1225725,1225811..1225936,1226039..1227279)				
