systematic_id	chromosome	primary_name	category	merged_into
SPAC1002.01	I	mrx11	changed	
SPAC1002.12c	I		changed	
SPAC1002.17c	I	urg2	changed	
SPAC1002.21	I		removed	
SPAC1006.03c	I	red1	changed	
SPAC1006.04c	I	mcp3	changed	
SPAC1006.05c	I		changed	
SPAC105.01c	I	kha1	changed	
SPAC1071.01c	I	pta1	changed	
SPAC1071.09c	I		changed	
SPAC1071.13	I		added	
SPAC1093.03	I		changed	
SPAC1093.04c	I		changed	
SPAC1093.07	I		added	
SPAC10F6.10	I		changed	
SPAC10F6.11c	I	atg17	changed	
SPAC110.05	I		added_changed_and_removed	
SPAC110.06	I		added_and_changed	
SPAC1142.01	I		changed	
SPAC11D3.01c	I		changed	
SPAC11D3.02c	I		changed	
SPAC11D3.07c	I		changed	
SPAC11D3.11c	I		changed	
SPAC11D3.19	I		added	
SPAC11D3.20	I		added	
SPAC11E3.03	I	pcs1	changed	
SPAC1250.04	I	atl1	added_and_removed	
SPAC1250.04c	I	atl1	changed	
SPAC1250.07	I		added	
SPAC1296.04	I		changed	
SPAC1296.06	I	tah18	changed	
SPAC12B10.09	I	pet801	changed	
SPAC12D12.09	II	rev7	added_and_removed	
SPAC12G12.13c	I		changed	
SPAC12G12.15	I	sif3	changed	
SPAC12G12.17	I		added	
SPAC1399.06	I		added	
SPAC13F5.04c	I		changed	
SPAC13F5.07c	I		changed	
SPAC13F5.08	I	vts1	added_and_removed	
SPAC13G6.04	I	tim8	changed	
SPAC13G6.05c	I	trs33	changed	
SPAC13G6.06c	I	gcv2	changed	
SPAC13G7.07	I	arb2	changed	
SPAC140.01	I	sdh2	changed	
SPAC144.06	I	apl5	changed	
SPAC144.17c	I		changed	
SPAC144.19	I	prl46	added	
SPAC1486.05	I	nup189	changed	
SPAC1486.11	I	fmc1	added	
SPAC14C4.02c	I	smc5	changed	
SPAC14C4.08	I	mug5	changed	
SPAC14C4.09	I	agn1	changed	
SPAC14C4.16	I		added	
SPAC1556.01c	I	rad50	changed	
SPAC1556.03	I	azr1	changed	
SPAC1556.06	I	meu1	changed	
SPAC1556.06.1	I	meu1	added_changed_and_removed	
SPAC1556.06.2	I	meu1-2	added_changed_and_removed	
SPAC1556.06b	I		changed_and_removed	
SPAC1565.08	I	cdc48	changed	
SPAC15A10.06	I		changed	
SPAC15A10.07	I		changed	
SPAC15A10.10	I	mde6	changed	
SPAC15A10.12c	I		changed	
SPAC15A10.17	I	coa2	added	
SPAC1610.03c	I		changed	
SPAC1639.01c	I		changed	
SPAC1639.02c	I	trk2	changed	
SPAC167.04	I	pam17	changed	
SPAC167.09	I		added_and_changed	
SPAC1687.17c	I		changed	
SPAC16A10.03c	I		changed	
SPAC16A10.04	I		changed	
SPAC16A10.05c	I	dad1	changed	
