revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value
8512	kmr44	2022-10-26	I	SPAC20H4.09	gih35	CDS	added	join(2126067..2126157,2126201..2126278,2126327..2126391,2126440..2126696,2126733..2127504,2127551..2127652,2127701..2127869,2127912..2128232,2128271..2128359)
8507	vw253	2022-10-25	I	SPAC20H4.09		CDS	removed	join(2126067..2126157,2126201..2126278,2126327..2126391,2126440..2126696,2126733..2127504,2127551..2127652,2127701..2127869,2127912..2128232,2128271..2128359)
8482	vw253	2022-10-06	II	SPLTRB.70		LTR	removed	63206..63534
8476	vw253	2022-10-04	I	SPAC22A12.08c.1	crd1	CDS	added	complement(join(1169936..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))
8476	vw253	2022-10-04	I	SPAC22A12.08c.1	crd1	CDS	removed	complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))
8476	vw253	2022-10-04	II	SPBC16E9.16c	lsd90	CDS	added	complement(join(1947985..1948955,1948954..1950048,1950048..1950255))
8476	vw253	2022-10-04	II	SPBC16E9.16c	lsd90	CDS	removed	complement(join(1947985..1948952,1948954..1950048,1950048..1950255))
8476	vw253	2022-10-04	II	SPBC32F12.08c	duo1	CDS	added	complement(join(2797658..2798040,2798042..2798507))
8476	vw253	2022-10-04	II	SPBC32F12.08c	duo1	CDS	removed	complement(join(2797652..2798040,2798042..2798507))
8476	vw253	2022-10-04	III	SPCC417.03		CDS	added	join(1672003..1672051,1672243..1672364)
8476	vw253	2022-10-04	III	SPCC417.03		CDS	removed	join(1672003..1672051,1672243..1672332)
8463	vw253	2022-09-27	I	SPNCRNA.46		ncRNA	removed	complement(4651351..4651792)
8463	vw253	2022-09-27	I	SPNCRNA.553	SPAC13A11.06-antisense-2	ncRNA	removed	complement(585266..587631)
8463	vw253	2022-09-27	II	SPNCRNA.101		ncRNA	removed	227377..227756
8463	vw253	2022-09-27	II	SPNCRNA.104		ncRNA	removed	547327..547670
8463	vw253	2022-09-27	II	SPNCRNA.1388		ncRNA	removed	835808..836248
8463	vw253	2022-09-27	II	SPNCRNA.1541		ncRNA	removed	2661608..2662564
8463	vw253	2022-09-27	III	SPCC13B11.01		5'UTR	removed	1589427..1591358
8463	vw253	2022-09-27	III	SPNCRNA.10		ncRNA	removed	complement(1837689..1838380)
8463	vw253	2022-09-27	III	SPNCRNA.1098		ncRNA	removed	complement(42013..42653)
8463	vw253	2022-09-27	III	SPNCRNA.1274		ncRNA	removed	complement(2215568..2217808)
8463	vw253	2022-09-27	III	SPNCRNA.1295		ncRNA	removed	2419027..2419845
8463	vw253	2022-09-27	III	SPNCRNA.1711	adh1-antisense-2	ncRNA	removed	complement(1590089..1593983)
8463	vw253	2022-09-27	III	SPNCRNA.489		ncRNA	removed	1342276..1342801
8462	vw253	2022-09-27	I	SPNCRNA.145		ncRNA	removed	239730..240571
8462	vw253	2022-09-27	I	SPNCRNA.18		ncRNA	removed	complement(3699381..3700010)
8462	vw253	2022-09-27	I	SPNCRNA.193		ncRNA	removed	2404684..2405924
8462	vw253	2022-09-27	I	SPNCRNA.884		ncRNA	removed	complement(3084619..3086087)
8462	vw253	2022-09-27	I	SPNCRNA.951		ncRNA	removed	3951825..3952588
8446	vw253	2022-09-16	II	SPBC32H8.08c	omh5	CDS	added	complement(join(1465811..1466035,1466138..1467057,1467311..1467317))
8446	vw253	2022-09-16	II	SPBC32H8.08c	omh5	CDS	removed	complement(join(1465811..1466035,1466138..1467057,1467311..1467431))
8423	vw253	2022-09-01	I	SPAC1F7.05		3'UTR	added	4229734..4229989
8423	vw253	2022-09-01	I	SPAC1F7.05.1		3'UTR	removed	4229734..4229989
8423	vw253	2022-09-01	I	SPAC1F7.05.2		3'UTR	removed	4229734..4229989
8423	vw253	2022-09-01	I	SPAC1F7.05.2		5'UTR	removed	4226715..4226981
8423	vw253	2022-09-01	I	SPAC1F7.05.2	cdc22	CDS	removed	join(4226982..4227000,4227317..4229733)
8423	vw253	2022-09-01	I	SPAC2E12.05		5'UTR	removed	5063258..5064304
8421	vw253	2022-08-31	I	SPAC23C11.02c		3'UTR	added	complement(2135325..2135356)
8421	vw253	2022-08-31	I	SPAC23C11.02c		3'UTR	removed	complement(2135328..2135356)
8412	vw253	2022-08-26	I	SPNCRNA.1084		ncRNA	removed	5459203..5460261
8412	vw253	2022-08-26	I	SPNCRNA.144		ncRNA	removed	238509..238898
8412	vw253	2022-08-26	I	SPNCRNA.227		ncRNA	removed	3610148..3611124
8412	vw253	2022-08-26	I	SPNCRNA.552	pol4-antisense-1	ncRNA	removed	541795..543483
8412	vw253	2022-08-26	I	SPNCRNA.59	prl59	ncRNA	removed	2362411..2362747
8412	vw253	2022-08-26	I	SPNCRNA.727		ncRNA	removed	1234476..1235111
8412	vw253	2022-08-26	I	SPNCRNA.729		ncRNA	removed	1236996..1238533
8412	vw253	2022-08-26	I	SPNCRNA.76		ncRNA	removed	79543..79628
8412	vw253	2022-08-26	I	SPNCRNA.77		ncRNA	removed	2362396..2362641
8412	vw253	2022-08-26	I	SPNCRNA.78		ncRNA	removed	2362643..2362753
8412	vw253	2022-08-26	I	SPNCRNA.83		ncRNA	removed	72344..72414
8412	vw253	2022-08-26	I	SPNCRNA.958		ncRNA	removed	complement(4100222..4101663)
8412	vw253	2022-08-26	I	SPNCRNA.962		ncRNA	removed	4136046..4137000
8412	vw253	2022-08-26	II	SPNCRNA.1531		ncRNA	removed	2584028..2586436
8412	vw253	2022-08-26	II	SPNCRNA.1631		ncRNA	removed	3702520..3703093
8412	vw253	2022-08-26	II	SPNCRNA.289		ncRNA	removed	63695..64021
8412	vw253	2022-08-26	II	SPNCRNA.410		ncRNA	removed	2886001..2886371
8412	vw253	2022-08-26	II	SPNCRNA.411		ncRNA	removed	2901243..2902541
8412	vw253	2022-08-26	II	SPNCRNA.4538		ncRNA	removed	complement(63188..63561)
8412	vw253	2022-08-26	II	SPNCRNA.538		ncRNA	removed	2301759..2303132
8412	vw253	2022-08-26	III	SPNCRNA.1256		ncRNA	removed	2045109..2046142
8412	vw253	2022-08-26	III	SPNCRNA.495		ncRNA	removed	1560068..1561109
8412	vw253	2022-08-26	III	SPNCRNA.502		ncRNA	removed	1782127..1783070
8412	vw253	2022-08-26	III	SPNCRNA.503		ncRNA	removed	1787163..1787440
8411	vw253	2022-08-26	I	SPNCRNA.994		ncRNA	removed	4516018..4517065
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	added	776184..777243
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	removed	776272..777066
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	removed	join(776272..776539,776589..776758,776829..777066)
8410	vw253	2022-08-26	I	SPNCRNA.56		ncRNA	removed	complement(2885670..2886792)
8410	vw253	2022-08-26	I	SPNCRNA.57		ncRNA	removed	complement(2327258..2327629)
