chromosome	systematic_id	primary_name	feature_type	value	date	db_xref_removed	db_xref_added	pombase_reference_removed	pombase_reference_added	pombase_comments_removed	pombase_comments_added	genome_snapshot
I	SPAC1002.01		CDS	1799247..1799735	2004-09-15							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20030814/
I	SPAC1002.01	mrx11	CDS	join(1798347..1798830,1798960..1799015)	2022-04-03					remove final exon		https://curation.pombase.org/pombe-embl-repo/trunk/?p=8147
I	SPAC1002.02		5'UTR	1799061..1799127	2023-01-12	PMID:18641648,PMID:20118936						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.03c		3'UTR	complement(1800107..1800211)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.03c		5'UTR	complement(1802982..1803077)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.03c		5'UTR	complement(1802984..1803077)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.03c		5'UTR	complement(1802984..1803141)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.04c		5'UTR	complement(1804371..1804450)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.04c		5'UTR	complement(1804373..1804450)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.04c		5'UTR	complement(1804373..1804491)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
I	SPAC1002.07c		3'UTR	complement(1808080..1808241)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.07c		5'UTR	complement(1809240..1809291)	2011-03-04							https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110204/
I	SPAC1002.07c		5'UTR	complement(1809242..1809291)	2011-03-24	PMID:18641648,PMID:20118936						https://www.pombase.org/data/genome_sequence_and_features/artemis_files/OLD/20110304/
I	SPAC1002.07c		5'UTR	complement(1809242..1809433)	2023-01-12	PMID:21511999						https://curation.pombase.org/pombe-embl-repo/trunk/?p=8649
