Systematic ID	Primary name	Date added	Comment	Reference
SPAC144.19	prl46	2020-09-09		PMID:32594847
SPCC4G3.20		2016-04-10		PMID:24929437
SPCC1840.13		2016-03-17		PMID:24929437
SPAPB1A11.06		2016-03-17	previously SPNCRNA.31	PMID:26494834
SPBC3B8.10	ina17	2015-11-28		PMID:25883323,PMID:26494834
SPAC29A4.23		2015-11-28		PMID:26494834
SPAC11D3.20		2015-11-28		PMID:26494834
SPBC713.14c		2014-07-04	identified by ribosome profiling	PMID:24929437
SPAC823.17		2014-07-04	identified by ribosome profiling	PMID:24929437
SPAC110.06		2014-07-04	identified by ribosome profiling. F1F0 ATPase synthase peripheral stalk assembly factor Ina17 (predicted)	PMID:24929437,PMID:26494834
SPCC18.20		2011-05-09		PMID:21511999
SPCPB16A4.07		2011-03-24		PMID:21511999,PMID:30925937
SPCC794.16		2011-03-24		
SPCC663.18		2011-03-24		PMID:21511999
SPCC417.16		2011-03-24		PMID:21511999
SPCC188.14		2011-03-24		PMID:21511999
SPCC1259.16		2011-03-24		PMID:21511999
SPCC1235.18		2011-03-24		PMID:21511999
SPCC1235.17		2011-03-24		PMID:21511999
SPBPB21E7.11		2011-03-24		PMID:21511999
SPBP8B7.32		2011-03-24		PMID:21511999
SPBP35G2.17		2011-03-24		PMID:21511999
SPBP23A10.17		2011-03-24		PMID:21511999
SPBC336.16		2011-03-24		PMID:21511999
SPBC32H8.15		2011-03-24		PMID:21511999
SPBC30B4.09		2011-03-24		PMID:21511999,PMID:30925937
SPBC2F12.17	cox7	2011-03-24		PMID:21511999
SPBC2A9.14		2011-03-24		PMID:21511999
SPBC25H2.18	cox20	2011-03-24		PMID:21511999
SPBC21B10.15		2011-03-24		PMID:21511999
SPBC21B10.14	ymr31	2011-03-24		PMID:21511999
SPBC19G7.19		2011-03-24		PMID:21511999
SPBC16E9.20		2011-03-24		PMID:21511999
SPBC1685.17		2011-03-24		PMID:24929437
SPBC13G1.16		2011-03-24		PMID:30925937
SPBC1348.15		2011-03-24		PMID:21511999
SPAPJ695.02		2011-03-24		PMID:21511999
SPAPB15E9.06		2011-03-24		PMID:21511999
SPACUNK4.20		2011-03-24		PMID:21511999
SPAC9G1.14		2011-03-24		PMID:21511999
SPAC977.18		2011-03-24		PMID:21511999
SPAC959.11		2011-03-24		PMID:21511999
SPAC922.09		2011-03-24		PMID:21511999
SPAC8E11.12		2011-03-24		PMID:21511999
SPAC4H3.17		2011-03-24		PMID:21511999
SPAC4H3.16		2011-03-24		PMID:21511999
SPAC3F10.19	spd2	2011-03-24		PMID:21511999
SPAC343.21		2011-03-24		PMID:21511999
SPAC2H10.04		2011-03-24		PMID:21511999
SPAC29A4.22		2011-03-24		PMID:21511999
SPAC25B8.20		2011-03-24		PMID:21511999,PMID:30925937
SPAC1B2.06		2011-03-24		PMID:21511999
SPAC19A8.16	prl65	2011-03-24		PMID:21511999
SPAC1834.13		2011-03-24		PMID:21511999
SPAC17A5.19		2011-03-24		PMID:21511999
SPAC1399.06		2011-03-24		PMID:21511999
SPAC11D3.19		2011-03-24		PMID:21511999
SPAC1093.07		2011-03-24		PMID:21511999
SPAC1071.13		2011-03-24		PMID:21511999
SPCP20C8.04	new22	2011-02-04		PMID:21270388
SPCC4B3.20	cmc2	2011-02-04		PMID:21270388
SPCC330.21	new25	2011-02-04		PMID:21270388
SPCC330.20	tam14	2011-02-04		PMID:21270388
SPBC8D2.23	new15	2011-02-04		PMID:21270388
SPBC887.22	new19	2011-02-04		PMID:21270388
SPBC839.20	new14	2011-02-04		PMID:21270388
SPBC839.19	new20	2011-02-04		PMID:21270388
SPBC56F2.15	tam13	2011-02-04		PMID:21270388
SPBC530.16	ksh1	2011-02-04		PMID:21270388
