systematic_id	chromosome	primary_name	feature_type	category	merged_into	comment_addition	reference_addition	comment_removal	reference_removal
SPAC1002.01	I	mrx11	CDS	changed					
SPAC1002.12c	I		CDS	changed					
SPAC1002.17c	I	urg2	CDS	changed					
SPAC1002.21	I		CDS	removed				was annotated as dubious but based on position in uracil regulatable operon, as this CDS does not appear to be transcribed. t is possible that the localization data is an artifact of the combination of overexpression and hydrophobicity. The protein sequence is also a strange composition, and there is no ortholog in octosporus or japonicus genomes. On balance, taking into account all of the available features and contextual information, it is unlikely that this feature codes for a bona fide protein.	
SPAC1006.03c	I	red1	CDS	changed					
SPAC1006.04c	I	mcp3	CDS	changed					
SPAC1006.05c	I		CDS	changed					
SPAC105.01c	I	kha1	CDS	changed					
SPAC1071.01c	I	pta1	CDS	changed					
SPAC1071.09c	I		CDS	changed					
SPAC1071.13	I		CDS	added					
SPAC1093.03	I		CDS	changed					
SPAC1093.04c	I		CDS	changed					
SPAC1093.07	I		CDS	added					
SPAC10F6.10	I		CDS	changed					
SPAC10F6.11c	I	atg17	CDS	changed					
SPAC110.05	I		CDS	added_changed_and_merged	SPAC110.06				
SPAC110.06	I		CDS	added_and_changed		identified by ribosome profiling||F1F0 ATPase synthase peripheral stalk assembly factor Ina17 (predicted)	PMID:24929437|PMID:26494834|PMID:26494834		
SPAC1142.01	I		CDS	changed					
SPAC11D3.01c	I		CDS	changed					
SPAC11D3.02c	I		CDS	changed					
SPAC11D3.07c	I		CDS	changed					
SPAC11D3.11c	I		CDS	changed		pseudo to coding			
SPAC11D3.19	I		CDS	added					
SPAC11D3.20	I		CDS	added					
SPAC11E3.03	I	pcs1	CDS	changed					
SPAC1250.04	I	atl1	CDS	added_and_removed					
SPAC1250.04c	I	atl1	CDS	changed					
SPAC1250.07	I		CDS	added		dubious|TFIIIC subunit Tfc7	|PMID:17409385		
SPAC1296.04	I		CDS	changed					
SPAC1296.06	I	tah18	CDS	changed					
SPAC12B10.09	I	pet801	CDS	changed					
SPAC12D12.09	II	rev7	CDS	added_and_merged	SPBC12D12.09				
SPAC12G12.13c	I		CDS	changed					
SPAC12G12.15	I	sif3	CDS	changed					
SPAC12G12.17	I		CDS	added		Solexa prediction	PMID:18488015		
SPAC1399.06	I		CDS	added					
SPAC13F5.04c	I		CDS	changed					
SPAC13F5.07c	I		CDS	changed					
SPAC13F5.08	I	vts1	CDS	added_and_merged	SPAC13F5.04c		PMID:21270388		
SPAC13G6.04	I	tim8	CDS	changed					
SPAC13G6.05c	I	trs33	CDS	changed					
