revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value	db_xref	pombase_reference	pombase_comments
11505	vw253	2026-01-11	I	SPAC212.06c		CDS	added	18072..18554			
11505	vw253	2026-01-11	I	SPAC212.06c		CDS	removed	join(18072..18306,18349..18557)			
10787	pascal	2025-04-24	II	SPBC887.14c.2	pfh1	CDS	added	complement(join(3567730..3568892,3568934..3570128))			
10787	pascal	2025-04-24	II	SPBC887.14c.2	pfh1	CDS	removed	complement(join(3567730..3568892,3568934..3570125))			
10730	vw253	2025-04-10	II	SPNCRNA.1715.1	mamRNA	lncRNA	added	join(1307681..1308190,1308418..1308984)			
10730	vw253	2025-04-10	II	SPNCRNA.1715.1	mamRNA	lncRNA	removed	1307681..1308359			
10513	vw253	2025-02-12	I	SPAC144.11	rps1102	CDS	added	4674612..4675070			
10513	vw253	2025-02-12	I	SPAC144.11	rps1102	CDS	removed	complement(4674612..4675070)			
10412	vw253	2025-01-17	I	SPAC144.11	rps1102	CDS	added	complement(4674612..4675070)			
10412	vw253	2025-01-17	I	SPAC144.11	rps1102	CDS	removed	4674612..4675070			
9820	vw253	2024-06-26	I	SPSNORNA.18	snoU24	snoRNA	added	complement(5369613..5369691)			
9820	vw253	2024-06-26	I	SPSNORNA.18	snoU24	snoRNA	removed	complement(5369640..5369686)			
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	added	complement(join(101836..101872,101872..103544))			
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	removed	complement(join(101836..101869,101872..103544))			
8652	vw253	2023-01-13	II	SPBC17D1.06	dbp3	CDS	added	3338751..3340340			
8652	vw253	2023-01-13	II	SPBC17D1.06	dbp3	CDS	removed	3338604..3340340			
8636	vw253	2023-01-10	I	SPAC227.11c	yos9	CDS	added	complement(join(514552..515082,515222..515482,515534..515608))			
8636	vw253	2023-01-10	I	SPAC227.11c	yos9	CDS	removed	complement(join(514552..515082,515222..515482))			
8617	vw253	2022-12-30	II	SPBC1E8.04	Tf2-10	CDS	added	join(1965390..1967475,1967478..1969390)			
8617	vw253	2022-12-30	II	SPBC1E8.04	Tf2-10	CDS	removed	join(1965390..1967475,1967478..1969387)			
8613	vw253	2022-12-26	II	SPBP16F5.03c	tra1	CDS	added	complement(1894433..1905418)			
8613	vw253	2022-12-26	II	SPBP16F5.03c	tra1	CDS	removed	complement(1894433..1905532)			
8612	vw253	2022-12-21	II	SPNCRNA.105		snRNA	added	4071111..4071312			
8612	vw253	2022-12-21	II	SPNCRNA.105		ncRNA	removed	4071111..4071304			
