revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value
9264	vw253	2023-10-27	II	SPNCRNA.105		lncRNA	added	4071111..4071312
9264	vw253	2023-10-27	II	SPNCRNA.105		ncRNA	removed	4071111..4071312
9030	vw253	2023-07-11	II	SPNCRNA.105		ncRNA	added	4071111..4071312
9030	vw253	2023-07-11	II	SPNCRNA.105		snRNA	removed	4071111..4071312
9023	vw253	2023-07-06	I	SPNCRNA.530	sno530	snoRNA	added	complement(1966483..1966635)
9023	vw253	2023-07-06	I	SPNCRNA.530		lncRNA	removed	complement(1966483..1966635)
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	added	complement(join(101836..101872,101872..103544))
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	removed	complement(join(101836..101869,101872..103544))
8658	kmr44	2023-01-16	I	SPNCRNA.03	prl3	lncRNA	added	complement(237074..237848)
8658	kmr44	2023-01-16	I	SPNCRNA.03	prl3	ncRNA	removed	complement(237074..237848)
8658	kmr44	2023-01-16	I	SPNCRNA.05	prl5	lncRNA	added	join(434104..434267,434338..434843)
8658	kmr44	2023-01-16	I	SPNCRNA.05	prl5	ncRNA	removed	join(434104..434267,434338..434843)
8658	kmr44	2023-01-16	I	SPNCRNA.1000		lncRNA	added	complement(4563180..4563654)
8658	kmr44	2023-01-16	I	SPNCRNA.1000		ncRNA	removed	complement(4563180..4563654)
8658	kmr44	2023-01-16	I	SPNCRNA.1001		lncRNA	added	complement(4580561..4582160)
8658	kmr44	2023-01-16	I	SPNCRNA.1001		ncRNA	removed	complement(4580561..4582160)
8658	kmr44	2023-01-16	I	SPNCRNA.1002		lncRNA	added	complement(4591803..4593532)
8658	kmr44	2023-01-16	I	SPNCRNA.1002		ncRNA	removed	complement(4591803..4593532)
8658	kmr44	2023-01-16	I	SPNCRNA.1003		lncRNA	added	4599993..4600855
8658	kmr44	2023-01-16	I	SPNCRNA.1003		ncRNA	removed	4599993..4600855
8658	kmr44	2023-01-16	I	SPNCRNA.1004		lncRNA	added	4604711..4606362
8658	kmr44	2023-01-16	I	SPNCRNA.1004		ncRNA	removed	4604711..4606362
8658	kmr44	2023-01-16	I	SPNCRNA.1005		lncRNA	added	complement(4619539..4621625)
8658	kmr44	2023-01-16	I	SPNCRNA.1005		ncRNA	removed	complement(4619539..4621625)
8658	kmr44	2023-01-16	I	SPNCRNA.1006		lncRNA	added	4625840..4627501
8658	kmr44	2023-01-16	I	SPNCRNA.1006		ncRNA	removed	4625840..4627501
8658	kmr44	2023-01-16	I	SPNCRNA.1007		lncRNA	added	complement(4636966..4638001)
8658	kmr44	2023-01-16	I	SPNCRNA.1007		ncRNA	removed	complement(4636966..4638001)
8658	kmr44	2023-01-16	I	SPNCRNA.1008		lncRNA	added	complement(4647230..4649094)
8658	kmr44	2023-01-16	I	SPNCRNA.1008		ncRNA	removed	complement(4647230..4649094)
8658	kmr44	2023-01-16	I	SPNCRNA.1009		lncRNA	added	4650598..4651189
8658	kmr44	2023-01-16	I	SPNCRNA.1009		ncRNA	removed	4650598..4651189
8658	kmr44	2023-01-16	I	SPNCRNA.1010		lncRNA	added	complement(4654243..4654578)
8658	kmr44	2023-01-16	I	SPNCRNA.1010		ncRNA	removed	complement(4654243..4654578)
8658	kmr44	2023-01-16	I	SPNCRNA.1011		lncRNA	added	complement(4654513..4655254)
8658	kmr44	2023-01-16	I	SPNCRNA.1011		ncRNA	removed	complement(4654513..4655254)
8658	kmr44	2023-01-16	I	SPNCRNA.1012		lncRNA	added	complement(4664185..4664880)
8658	kmr44	2023-01-16	I	SPNCRNA.1012		ncRNA	removed	complement(4664185..4664880)
8658	kmr44	2023-01-16	I	SPNCRNA.1013		lncRNA	added	complement(4673024..4673742)
8658	kmr44	2023-01-16	I	SPNCRNA.1013		ncRNA	removed	complement(4673024..4673742)
8658	kmr44	2023-01-16	I	SPNCRNA.1014		lncRNA	added	4673137..4673690
8658	kmr44	2023-01-16	I	SPNCRNA.1014		ncRNA	removed	4673137..4673690
8658	kmr44	2023-01-16	I	SPNCRNA.1015		lncRNA	added	complement(4674037..4675800)
8658	kmr44	2023-01-16	I	SPNCRNA.1015		ncRNA	removed	complement(4674037..4675800)
8658	kmr44	2023-01-16	I	SPNCRNA.1016		lncRNA	added	complement(4689540..4690068)
8658	kmr44	2023-01-16	I	SPNCRNA.1016		ncRNA	removed	complement(4689540..4690068)
8658	kmr44	2023-01-16	I	SPNCRNA.1017		lncRNA	added	complement(4691805..4693630)
8658	kmr44	2023-01-16	I	SPNCRNA.1017		ncRNA	removed	complement(4691805..4693630)
8658	kmr44	2023-01-16	I	SPNCRNA.1018		lncRNA	added	4721254..4722882
8658	kmr44	2023-01-16	I	SPNCRNA.1018		ncRNA	removed	4721254..4722882
8658	kmr44	2023-01-16	I	SPNCRNA.1019		lncRNA	added	4733588..4734102
8658	kmr44	2023-01-16	I	SPNCRNA.1019		ncRNA	removed	4733588..4734102
8658	kmr44	2023-01-16	I	SPNCRNA.1020		lncRNA	added	complement(4742717..4743476)
8658	kmr44	2023-01-16	I	SPNCRNA.1020		ncRNA	removed	complement(4742717..4743476)
8658	kmr44	2023-01-16	I	SPNCRNA.1021		lncRNA	added	4748524..4752562
8658	kmr44	2023-01-16	I	SPNCRNA.1021		ncRNA	removed	4748524..4752562
8658	kmr44	2023-01-16	I	SPNCRNA.1022		lncRNA	added	complement(4753883..4754807)
8658	kmr44	2023-01-16	I	SPNCRNA.1022		ncRNA	removed	complement(4753883..4754807)
8658	kmr44	2023-01-16	I	SPNCRNA.1023		lncRNA	added	4767923..4769721
8658	kmr44	2023-01-16	I	SPNCRNA.1023		ncRNA	removed	4767923..4769721
8658	kmr44	2023-01-16	I	SPNCRNA.1024		lncRNA	added	4791261..4791958
8658	kmr44	2023-01-16	I	SPNCRNA.1024		ncRNA	removed	4791261..4791958
