revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value	db_xref	pombase_reference	pombase_comments
svn_2	kmr44	2011-08-22	I	SPAC1006.03c		intron	added	complement(5071418..5071461)			
svn_2	kmr44	2011-08-22	I	SPAC1486.11		intron	added	3202834..3202876			
svn_2	kmr44	2011-08-22	I	SPAC14C4.09	agn1	CDS	removed	5244207..5245481			
svn_2	kmr44	2011-08-22	I	SPAC14C4.09	agn1	CDS_AFTER	added	5244207..5245481			
svn_2	kmr44	2011-08-22	I	SPAC1556.06		intron	added	3804588..3804660			
svn_2	kmr44	2011-08-22	I	SPAC186.06		misc_feature	removed	join(5542073..5542180,5542184..5542455,5542457..5542973)			
svn_2	kmr44	2011-08-22	I	SPAC19G12.17		intron	added	complement(4066329..4066386)			
svn_2	kmr44	2011-08-22	I	SPAC19G12.17		intron	added	complement(4066492..4066622)			
svn_2	kmr44	2011-08-22	I	SPAC19G12.17		intron	added	complement(4066653..4066727)			
svn_2	kmr44	2011-08-22	I	SPAC19G12.17		intron	added	complement(4066786..4066836)			
svn_2	kmr44	2011-08-22	I	SPAC1A6.03c		3'UTR	added	complement(1069923..1070060)			
svn_2	kmr44	2011-08-22	I	SPAC1A6.03c		3'UTR	removed	complement(1069923..1070138)			
svn_2	kmr44	2011-08-22	I	SPAC24H6.06	sld3	CDS	added	complement(join(476549..478606,478655..478696))			
svn_2	kmr44	2011-08-22	I	SPAC24H6.06	sld3	CDS	removed	complement(join(476549..477542,477636..478606,478655..478696))			
svn_2	kmr44	2011-08-22	I	SPAC27E2.05		5'UTR	removed	4015037..4015049			
svn_2	kmr44	2011-08-22	I	SPAC27F1.09c		intron	added	complement(4336556..4336621)			
svn_2	kmr44	2011-08-22	I	SPAC27F1.09c		intron	added	complement(4336727..4336777)			
svn_2	kmr44	2011-08-22	I	SPAC3G9.17		intron	added	complement(3162444..3162522)			
svn_2	kmr44	2011-08-22	I	SPAC3G9.17		intron	added	complement(3162612..3162669)			
svn_2	kmr44	2011-08-22	I	SPAC3H5.13		intron	added	3412570..3412609			
svn_2	kmr44	2011-08-22	I	SPAC3H5.13		intron	added	3412732..3412777			
svn_2	kmr44	2011-08-22	I	SPAC4G9.22		CDS	added	2292013..2292297			
svn_2	kmr44	2011-08-22	I	SPAC4G9.22		CDS	removed	2291983..2292297			
svn_2	kmr44	2011-08-22	I	SPAC7D4.10		3'UTR	removed	complement(2620340..2620510)			
svn_2	kmr44	2011-08-22	I	SPAC8E11.03c		3'UTR	removed	3382284..3382331			
svn_2	kmr44	2011-08-22	I	SPNCRNA.75		misc_RNA	removed	complement(2810265..2810692)			
svn_2	kmr44	2011-08-22	II	SPBC11B10.10c		5'UTR	added	complement(1503062..1503468)			
svn_2	kmr44	2011-08-22	II	SPBC11B10.10c		5'UTR	removed	complement(1503158..1503468)			
