Date	Systematic ID	Primary name	Before / After change	Coordinates	Comment	Reference
2025-04-24	SPBC887.14c.2	pfh1	after	II:complement(join(3567730..3568892,3568934..3570128))		
2025-04-24	SPBC887.14c.2	pfh1	before	II:complement(join(3567730..3568892,3568934..3570125))		
2025-02-12	SPAC144.11	rps1102	after	I:4674612..4675070		
2025-02-12	SPAC144.11	rps1102	before	I:complement(4674612..4675070)		
2025-01-17	SPAC144.11	rps1102	after	I:complement(4674612..4675070)		
2025-01-17	SPAC144.11	rps1102	before	I:4674612..4675070		
2023-05-03	SPAC1F8.07c	pdc101	after	I:complement(join(101836..101872,101872..103544))		
2023-05-03	SPAC1F8.07c	pdc101	before	I:complement(join(101836..101869,101872..103544))		
2023-01-13	SPBC17D1.06	dbp3	after	II:3338751..3340340		
2023-01-13	SPBC17D1.06	dbp3	before	II:3338604..3340340		
2023-01-10	SPAC227.11c	yos9	after	I:complement(join(514552..515082,515222..515482,515534..515608))		
2023-01-10	SPAC227.11c	yos9	before	I:complement(join(514552..515082,515222..515482))		
2022-12-30	SPBC1E8.04	Tf2-10	after	II:join(1965390..1967475,1967478..1969390)		
2022-12-30	SPBC1E8.04	Tf2-10	before	II:join(1965390..1967475,1967478..1969387)		
2022-12-26	SPBP16F5.03c	tra1	after	II:complement(1894433..1905418)		
2022-12-26	SPBP16F5.03c	tra1	before	II:complement(1894433..1905532)		
2022-12-12	SPAC9G1.07		after	I:join(1983182..1984207,1984253..1984438)		
2022-12-12	SPAC9G1.07		before	I:1983182..1984438		
2022-12-12	SPBC3B8.10	ina17	after	II:join(3390968..3391069,3391178..3391304,3391351..3391382)		
2022-12-12	SPBC3B8.10	ina17	before	II:join(3390968..3391069,3391178..3391413)		
2022-12-12	SPBP4H10.12		after	II:join(2895800..2895823,2896001..2896459,2896516..2896587)		
2022-12-12	SPBP4H10.12		before	II:join(2895855..2895863,2896001..2896459,2896516..2896587)		
2022-12-02	SPAPB1E7.05	gde1	after	I:join(3293630..3293646,3293951..3297341)		
2022-12-02	SPAPB1E7.05	gde1	before	I:3294111..3297341		
2022-10-04	SPAC22A12.08c.1	crd1	after	I:complement(join(1169936..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2022-10-04	SPAC22A12.08c.1	crd1	before	I:complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))		
2022-10-04	SPBC16E9.16c	lsd90	after	II:complement(join(1947985..1948955,1948954..1950048,1950048..1950255))		
2022-10-04	SPBC16E9.16c	lsd90	before	II:complement(join(1947985..1948952,1948954..1950048,1950048..1950255))		
2022-10-04	SPBC32F12.08c	duo1	after	II:complement(join(2797658..2798040,2798042..2798507))		
2022-10-04	SPBC32F12.08c	duo1	before	II:complement(join(2797652..2798040,2798042..2798507))		
2022-10-04	SPCC417.03		after	III:join(1672003..1672051,1672243..1672364)		
2022-10-04	SPCC417.03		before	III:join(1672003..1672051,1672243..1672332)		
2022-09-16	SPBC32H8.08c	omh5	after	II:complement(join(1465811..1466035,1466138..1467057,1467311..1467317))		
2022-09-16	SPBC32H8.08c	omh5	before	II:complement(join(1465811..1466035,1466138..1467057,1467311..1467431))		
2022-08-25	SPAC23E2.02	lsd2	after	I:join(446770..449241,449295..450530)		
2022-08-25	SPAC23E2.02	lsd2	before	I:join(446491..446513,446679..449241,449295..450530)		
2022-08-25	SPAC343.16	lys2	after	I:1675823..1677895		
2022-08-25	SPAC343.16	lys2	before	I:1675730..1677895		
2022-08-25	SPBC16H5.11c	skb1	after	II:join(2277275..2277464,2277514..2279012,2279059..2279247)		
2022-08-25	SPBC16H5.11c	skb1	before	II:join(2277215..2277464,2277514..2279012,2279059..2279247)		
2022-08-25	SPBC13A2.02	nup82	after	II:3400618..3403014		
2022-08-25	SPBC13A2.02	nup82	before	II:3400603..3403014		
2022-08-25	SPBC13G1.14c	rns1	after	II:complement(join(3727332..3727657,3727705..3727810,3727877..3728068))		
2022-08-25	SPBC13G1.14c	rns1	before	II:complement(join(3727332..3727657,3727705..3727810,3727877..3728176))		
2022-08-25	SPBC16A3.01	spn3	after	II:complement(join(4299042..4299794,4299858..4300036,4300263..4300452))		
2022-08-25	SPBC16A3.01	spn3	before	II:complement(join(4299042..4299794,4299858..4300036,4300263..4300569))		
2022-08-25	SPBC25D12.05	trm1	after	II:3723455..3725029		
2022-08-25	SPBC25D12.05	trm1	before	II:3723383..3725029		
2022-08-25	SPBC31F10.17c		after	II:complement(join(3788317..3788649,3788725..3788775))		
2022-08-25	SPBC31F10.17c		before	II:complement(join(3788317..3788649,3788725..3788799))		
2022-08-25	SPBC887.07	mrpl38	after	II:join(3551348..3551389,3551433..3551490,3551554..3551834)		
2022-08-25	SPBC887.07	mrpl38	before	II:join(3551318..3551389,3551433..3551490,3551554..3551834)		
2022-08-25	SPBP8B7.05c	nce103	after	II:complement(3641216..3641950)		
2022-08-25	SPBP8B7.05c	nce103	before	II:complement(3641216..3642202)		
2022-08-25	SPCC1259.12c	gid1	after	III:complement(join(1056598..1056737,1056787..1057191,1057239..1057880,1057925..1058189))		
2022-08-25	SPCC1259.12c	gid1	before	III:complement(join(1056598..1056737,1056787..1057191,1057239..1057880,1057925..1058213))		
2022-08-25	SPCC126.15c	sec65	after	III:complement(join(2142679..2143055,2143109..2143331))		
