revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value
8507	vw253	2022-10-25	I	SPAC20H4.09		CDS	removed	join(2126067..2126157,2126201..2126278,2126327..2126391,2126440..2126696,2126733..2127504,2127551..2127652,2127701..2127869,2127912..2128232,2128271..2128359)
8463	vw253	2022-09-27	I	SPNCRNA.46		ncRNA	removed	complement(4651351..4651792)
8463	vw253	2022-09-27	II	SPNCRNA.101		ncRNA	removed	227377..227756
8463	vw253	2022-09-27	II	SPNCRNA.104		ncRNA	removed	547327..547670
8463	vw253	2022-09-27	II	SPNCRNA.1388		ncRNA	removed	835808..836248
8463	vw253	2022-09-27	II	SPNCRNA.1541		ncRNA	removed	2661608..2662564
8463	vw253	2022-09-27	III	SPNCRNA.10		ncRNA	removed	complement(1837689..1838380)
8463	vw253	2022-09-27	III	SPNCRNA.1098		ncRNA	removed	complement(42013..42653)
8463	vw253	2022-09-27	III	SPNCRNA.1274		ncRNA	removed	complement(2215568..2217808)
8463	vw253	2022-09-27	III	SPNCRNA.1295		ncRNA	removed	2419027..2419845
8463	vw253	2022-09-27	III	SPNCRNA.489		ncRNA	removed	1342276..1342801
8462	vw253	2022-09-27	I	SPNCRNA.145		ncRNA	removed	239730..240571
8462	vw253	2022-09-27	I	SPNCRNA.18		ncRNA	removed	complement(3699381..3700010)
8462	vw253	2022-09-27	I	SPNCRNA.193		ncRNA	removed	2404684..2405924
8462	vw253	2022-09-27	I	SPNCRNA.884		ncRNA	removed	complement(3084619..3086087)
8462	vw253	2022-09-27	I	SPNCRNA.951		ncRNA	removed	3951825..3952588
8423	vw253	2022-09-01	I	SPAC1F7.05.2	cdc22	CDS	removed	join(4226982..4227000,4227317..4229733)
8412	vw253	2022-08-26	I	SPNCRNA.144		ncRNA	removed	238509..238898
8412	vw253	2022-08-26	I	SPNCRNA.727		ncRNA	removed	1234476..1235111
8412	vw253	2022-08-26	I	SPNCRNA.76		ncRNA	removed	79543..79628
8412	vw253	2022-08-26	I	SPNCRNA.83		ncRNA	removed	72344..72414
8412	vw253	2022-08-26	I	SPNCRNA.958		ncRNA	removed	complement(4100222..4101663)
8412	vw253	2022-08-26	II	SPNCRNA.4538		ncRNA	removed	complement(63188..63561)
8412	vw253	2022-08-26	III	SPNCRNA.1256		ncRNA	removed	2045109..2046142
8412	vw253	2022-08-26	III	SPNCRNA.502		ncRNA	removed	1782127..1783070
8412	vw253	2022-08-26	III	SPNCRNA.503		ncRNA	removed	1787163..1787440
8411	vw253	2022-08-26	I	SPNCRNA.994		ncRNA	removed	4516018..4517065
8410	vw253	2022-08-26	I	SPNCRNA.56		ncRNA	removed	complement(2885670..2886792)
8410	vw253	2022-08-26	I	SPNCRNA.57		ncRNA	removed	complement(2327258..2327629)
8410	vw253	2022-08-26	I	SPNCRNA.84		ncRNA	removed	complement(3753160..3753489)
8410	vw253	2022-08-26	I	SPNCRNA.95		ncRNA	removed	3789585..3789948
8410	vw253	2022-08-26	I	SPNCRNA.98		ncRNA	removed	4268566..4269064
8410	vw253	2022-08-26	II	SPNCRNA.111		ncRNA	removed	complement(3978616..3980728)
8410	vw253	2022-08-26	II	SPNCRNA.1341		ncRNA	removed	complement(339484..340003)
8410	vw253	2022-08-26	II	SPNCRNA.1572		ncRNA	removed	3008602..3011490
8410	vw253	2022-08-26	II	SPNCRNA.1679		ncRNA	removed	complement(4194886..4196046)
8410	vw253	2022-08-26	II	SPNCRNA.287		ncRNA	removed	21025..21701
8410	vw253	2022-08-26	II	SPNCRNA.291		ncRNA	removed	103208..104381
8410	vw253	2022-08-26	II	SPNCRNA.293		ncRNA	removed	120652..121497
8410	vw253	2022-08-26	II	SPNCRNA.304		ncRNA	removed	complement(360425..362854)
8410	vw253	2022-08-26	II	SPNCRNA.316		ncRNA	removed	591646..592613
8410	vw253	2022-08-26	II	SPNCRNA.322		ncRNA	removed	674078..676143
8410	vw253	2022-08-26	II	SPNCRNA.438		ncRNA	removed	complement(4194849..4196008)
8410	vw253	2022-08-26	II	SPNCRNA.445		ncRNA	removed	complement(3874254..3874906)
8410	vw253	2022-08-26	III	SPNCRNA.511		ncRNA	removed	2011061..2012433
8410	vw253	2022-08-26	III	SPNCRNA.519		ncRNA	removed	2362248..2362743
8410	vw253	2022-08-26	III	SPNCRNA.67		ncRNA	removed	1432003..1432625
8404	vw253	2022-08-25	II	SPBC30D10.09c		CDS	removed	join(3083317..3083483,3083527..3083648,3083742..3084106)
8404	vw253	2022-08-25	II	SPBC582.08		CDS	removed	join(432550..433012,433204..434003,434057..434311)
