revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value	db_xref	pombase_reference	pombase_comments
9228	vw253	2023-10-15	II	SPBC25D12.05		5'UTR	removed	3723433..3723454			
9228	vw253	2023-10-15	II	SPBC25D12.05	trm1	CDS	removed	3723455..3725029			
9228	vw253	2023-10-15	II	SPBC25D12.05.1	trm1	CDS	added	3723383..3725029			
9228	vw253	2023-10-15	II	SPBC25D12.05.2		5'UTR	added	3723433..3723454			
9228	vw253	2023-10-15	II	SPBC25D12.05.2	trm1	CDS	added	3723455..3725029			
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	added	complement(join(101836..101872,101872..103544))			
8920	vw253	2023-05-03	I	SPAC1F8.07c	pdc101	CDS	removed	complement(join(101836..101869,101872..103544))			
8812	vw253	2023-03-17	II	SPNCRNA.1715.1	mamRNA	lncRNA	added	1307681..1308359			
8812	vw253	2023-03-17	II	SPNCRNA.1715.2	mamRNA	lncRNA	added	1307681..1308192			
8789	vw253	2023-03-10	I	SPAC144.19	SPAC144.19	3'UTR	added	complement(4651351..4651623)			
8789	vw253	2023-03-10	I	SPAC31G5.10		3'UTR	added	3003767..3004916			
8764	vw253	2023-03-01	I	SPNCRNA.87		lncRNA	added	3177931..3178309			
8764	vw253	2023-03-01	I	SPNCRNA.893		lncRNA	removed	3177931..3178309			
8723	vw253	2023-02-13	I	SPNCRNA.1714		lncRNA	added	complement(5317424..5317575)			
8723	vw253	2023-02-13	I	SPNCRNA.263		lncRNA	removed	5317424..5317575			
8691	manu	2023-02-01	II	SPBC8E4.01c		5'UTR	added	4444101..4444251			
8691	manu	2023-02-01	II	SPBP4G3.02		5'UTR	added	4447506..4447556			
8671	vw253	2023-01-23	II	SPNCRNA.38	prl38	lncRNA	removed	complement(2186474..2186908)			
8660	vw253	2023-01-16	II	SPBC1198.04c		3'UTR	removed	complement(177469..177555)			
8660	vw253	2023-01-16	II	SPBC1198.04c.1		3'UTR	added	complement(177469..177555)			
8660	vw253	2023-01-16	II	SPBC1198.04c.2		3'UTR	added	complement(177469..177555)			
8654	vw253	2023-01-14	I	SPAC13C5.06c		5'UTR	added	complement(435102..436022)			
8654	vw253	2023-01-14	I	SPAC13C5.06c		5'UTR	removed	complement(435113..436022)			
8654	vw253	2023-01-14	I	SPAC1783.05		5'UTR	added	2194821..2195016			
