revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value
8476	vw253	2022-10-04	I	SPAC22A12.08c.1	crd1	CDS	added	complement(join(1169936..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))
8476	vw253	2022-10-04	I	SPAC22A12.08c.1	crd1	CDS	removed	complement(join(1169939..1170029,1170169..1170260,1170307..1170461,1170504..1171270,1171362..1171856,1171900..1171956,1171999..1172126))
8476	vw253	2022-10-04	II	SPBC16E9.16c	lsd90	CDS	added	complement(join(1947985..1948955,1948954..1950048,1950048..1950255))
8476	vw253	2022-10-04	II	SPBC16E9.16c	lsd90	CDS	removed	complement(join(1947985..1948952,1948954..1950048,1950048..1950255))
8476	vw253	2022-10-04	II	SPBC32F12.08c	duo1	CDS	added	complement(join(2797658..2798040,2798042..2798507))
8476	vw253	2022-10-04	II	SPBC32F12.08c	duo1	CDS	removed	complement(join(2797652..2798040,2798042..2798507))
8476	vw253	2022-10-04	III	SPCC417.03		CDS	added	join(1672003..1672051,1672243..1672364)
8476	vw253	2022-10-04	III	SPCC417.03		CDS	removed	join(1672003..1672051,1672243..1672332)
8446	vw253	2022-09-16	II	SPBC32H8.08c	omh5	CDS	added	complement(join(1465811..1466035,1466138..1467057,1467311..1467317))
8446	vw253	2022-09-16	II	SPBC32H8.08c	omh5	CDS	removed	complement(join(1465811..1466035,1466138..1467057,1467311..1467431))
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	added	776184..777243
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	removed	776272..777066
8410	vw253	2022-08-26	I	SPNCRNA.159		ncRNA	removed	join(776272..776539,776589..776758,776829..777066)
8408	vw253	2022-08-25	I	SPAC23E2.02	lsd2	CDS	added	join(446770..449241,449295..450530)
8408	vw253	2022-08-25	I	SPAC23E2.02	lsd2	CDS	removed	join(446491..446513,446679..449241,449295..450530)
8408	vw253	2022-08-25	I	SPAC343.16	lys2	CDS	added	1675823..1677895
8408	vw253	2022-08-25	I	SPAC343.16	lys2	CDS	removed	1675730..1677895
8408	vw253	2022-08-25	II	SPBC16H5.11c	skb1	CDS	added	join(2277275..2277464,2277514..2279012,2279059..2279247)
8408	vw253	2022-08-25	II	SPBC16H5.11c	skb1	CDS	removed	join(2277215..2277464,2277514..2279012,2279059..2279247)
8406	vw253	2022-08-25	II	SPBC13A2.02	nup82	CDS	added	3400618..3403014
8406	vw253	2022-08-25	II	SPBC13A2.02	nup82	CDS	removed	3400603..3403014
8406	vw253	2022-08-25	II	SPBC13G1.14c	rns1	CDS	added	complement(join(3727332..3727657,3727705..3727810,3727877..3728068))
8406	vw253	2022-08-25	II	SPBC13G1.14c	rns1	CDS	removed	complement(join(3727332..3727657,3727705..3727810,3727877..3728176))
8406	vw253	2022-08-25	II	SPBC16A3.01	spn3	CDS	added	complement(join(4299042..4299794,4299858..4300036,4300263..4300452))
8406	vw253	2022-08-25	II	SPBC16A3.01	spn3	CDS	removed	complement(join(4299042..4299794,4299858..4300036,4300263..4300569))
8406	vw253	2022-08-25	II	SPBC25D12.05	trm1	CDS	added	3723455..3725029
8406	vw253	2022-08-25	II	SPBC25D12.05	trm1	CDS	removed	3723383..3725029
8406	vw253	2022-08-25	II	SPBC31F10.17c		CDS	added	complement(join(3788317..3788649,3788725..3788775))
8406	vw253	2022-08-25	II	SPBC31F10.17c		CDS	removed	complement(join(3788317..3788649,3788725..3788799))
8406	vw253	2022-08-25	II	SPBC887.07	mrpl38	CDS	added	join(3551348..3551389,3551433..3551490,3551554..3551834)
8406	vw253	2022-08-25	II	SPBC887.07	mrpl38	CDS	removed	join(3551318..3551389,3551433..3551490,3551554..3551834)
8406	vw253	2022-08-25	II	SPBP8B7.05c	nce103	CDS	added	complement(3641216..3641950)
8406	vw253	2022-08-25	II	SPBP8B7.05c	nce103	CDS	removed	complement(3641216..3642202)
8405	vw253	2022-08-25	III	SPCC1259.12c	gid1	CDS	added	complement(join(1056598..1056737,1056787..1057191,1057239..1057880,1057925..1058189))
