revision	user	date	chromosome	systematic_id	primary_name	feature_type	added_or_removed	value
11505	vw253	2026-01-11	I	SPAC212.06c		CDS	added	18072..18554
11505	vw253	2026-01-11	I	SPAC212.06c		CDS	removed	join(18072..18306,18349..18557)
10840	vw253	2025-05-14	II	SPBC887.14c.2		5'UTR	added	complement(3570129..3570476)
10787	pascal	2025-04-24	II	SPBC887.14c.2	pfh1	CDS	added	complement(join(3567730..3568892,3568934..3570128))
10787	pascal	2025-04-24	II	SPBC887.14c.2	pfh1	CDS	removed	complement(join(3567730..3568892,3568934..3570125))
10782	pascal	2025-04-23	II	SPBC887.14c	pfh1	CDS	removed	complement(join(3567730..3568892,3568934..3570188))
10782	pascal	2025-04-23	II	SPBC887.14c.1	pfh1	CDS	added	complement(join(3567730..3568892,3568934..3570188))
10782	pascal	2025-04-23	II	SPBC887.14c.2	pfh1	CDS	added	complement(join(3567730..3568892,3568934..3570125))
10730	vw253	2025-04-10	II	SPNCRNA.1715.1	mamRNA	lncRNA	added	join(1307681..1308190,1308418..1308984)
10730	vw253	2025-04-10	II	SPNCRNA.1715.1	mamRNA	lncRNA	removed	1307681..1308359
10730	vw253	2025-04-10	II	SPSNORNA.55	snR107	snRNA	added	1308236..1308343
10513	vw253	2025-02-12	I	SPAC144.11		3'UTR	added	4675071..4675181
10513	vw253	2025-02-12	I	SPAC144.11		3'UTR	removed	complement(4675071..4675181)
10513	vw253	2025-02-12	I	SPAC144.11		5'UTR	added	4674588..4674611
10513	vw253	2025-02-12	I	SPAC144.11		5'UTR	removed	complement(4674588..4674611)
10513	vw253	2025-02-12	I	SPAC144.11	rps1102	CDS	added	4674612..4675070
10513	vw253	2025-02-12	I	SPAC144.11	rps1102	CDS	removed	complement(4674612..4675070)
10505	vw253	2025-02-11	I	SPAC144.11		3'UTR	added	complement(4675071..4675181)
10505	vw253	2025-02-11	I	SPAC144.11		3'UTR	removed	4675071..4675181
10505	vw253	2025-02-11	I	SPAC144.11		5'UTR	added	complement(4674588..4674611)
10505	vw253	2025-02-11	I	SPAC144.11		5'UTR	removed	4674588..4674611
10412	vw253	2025-01-17	I	SPAC144.11	rps1102	CDS	added	complement(4674612..4675070)
10412	vw253	2025-01-17	I	SPAC144.11	rps1102	CDS	removed	4674612..4675070
10372	kmr44	2025-01-09	II	SPBC685.02		5'UTR	removed	2772853..2772883
10372	kmr44	2025-01-09	II	SPBC685.02.1		5'UTR	added	2772853..2772883
10367	vw253	2025-01-08	I	SPAC1834.03c		5'UTR	added	complement(4699397..4699599)
